text|url
Svi koji idu da rade tamo sezonski svi su to izdaice srpske kako ih samo hrvati ismejavaju pogotovo zenske na granici strogo uvesti posebno zakon ta mrznja sve dolazi od njih patrijota da umire ne bih zgazijo prokletu zemlju.|https://www.facebook.com/informernovine/posts/pfbid02E6AvWuxjMmhV1H22BqM4f2jhtsifqtg3zG16Nj17o9aDvguuay2bWXaXQX3BKoTEl
Pa i Karleuša trči u zagrljaj u Vodice.|https://www.facebook.com/informernovine/posts/pfbid02E6AvWuxjMmhV1H22BqM4f2jhtsifqtg3zG16Nj17o9aDvguuay2bWXaXQX3BKoTEl
Ima li nejači zaklane i o kojem broju je riječ?|https://www.facebook.com/informernovine/posts/pfbid02E6AvWuxjMmhV1H22BqM4f2jhtsifqtg3zG16Nj17o9aDvguuay2bWXaXQX3BKoTEl
Kako lažete svoj narod..znate li uopce koliki broj Srba ljetuje na jadranu i koliko srba radi u sezoni,znate li koliko srpskih tablica svaki dan prodje autoputom ZG-BG?? Nikom ne fali ni dlaka sa glave a ovi 1-2 izdvojena slucaja gdje se moze naci i kod vas podijelite u medije|https://www.facebook.com/informernovine/posts/pfbid02E6AvWuxjMmhV1H22BqM4f2jhtsifqtg3zG16Nj17o9aDvguuay2bWXaXQX3BKoTEl
"Ne brinu toliko Hrvati, jer nismo u obavezi posećivati Hrvatsku. Mnogo više brinu domaći izdajnici u Srbiji i prebezi iz Bosne i Hrvatske, koji pod plaštom ""patriotizma"", čine daleko gore stvari od samih Hrvata. Nisu nam oni krivi za zločin u Novom Sadu, kradju izbora, Banjsku, Krušik, Jovanjicu, Pionirski park, najskuplju i najnekvalitetniju gradnju, nasilje, kriminal i korupciju na svakom koraku, i bezbroj drugih afera. Neko iz Srbije diriguje i usmerava sve to. https://www.facebook.com/share/1BxcepfJ5Z/"|https://www.facebook.com/informernovine/posts/pfbid02E6AvWuxjMmhV1H22BqM4f2jhtsifqtg3zG16Nj17o9aDvguuay2bWXaXQX3BKoTEl
То покривање Зеленског и пожара у пешчари…да се ЋАЦАД не узбуне…|https://www.facebook.com/informernovine/posts/pfbid02iPi5TDP9gU4hGp2Yjhw1Sz5AcPvpdrpJaJZbLsi2E95bfTfEoCPbFDwePYMVwFTGl
A dosije vučićevih lojalista to zi nabavi|https://www.facebook.com/informernovine/posts/pfbid02iPi5TDP9gU4hGp2Yjhw1Sz5AcPvpdrpJaJZbLsi2E95bfTfEoCPbFDwePYMVwFTGl
Plasira teške laži trba te momentalno uhapsiti i ugasiti tvoje splačine.|https://www.facebook.com/informernovine/posts/pfbid02iPi5TDP9gU4hGp2Yjhw1Sz5AcPvpdrpJaJZbLsi2E95bfTfEoCPbFDwePYMVwFTGl
Ajte malo i biografije malog arsića, orlića, Jorgovanke, maje, šešelja i ostalih krpelja.|https://www.facebook.com/informernovine/posts/pfbid02iPi5TDP9gU4hGp2Yjhw1Sz5AcPvpdrpJaJZbLsi2E95bfTfEoCPbFDwePYMVwFTGl
Пуки су они сви|https://www.facebook.com/informernovine/posts/pfbid02ppfJJ6AQE1taTgC6Xsbf3DxFyZ8oiZC15qLALq35VCvmyJd3kDvxBUszthgbVNUSl
