id|source|url|text|author|created_at|is_reply|parent_id
18367976857232895|instagram|https://www.instagram.com/p/DampSeAgPrr/|Raspiši jajaro , da se pogledamo u oči|baobab_011|2026-07-10T08:02:16+00:00|0|
18036976685816221|instagram|https://www.instagram.com/p/DampSeAgPrr/|@baobab_011 ahhaa a TI CE vladas ustado|sremacbosko|2026-07-10T09:54:17+00:00|1|18367976857232895
18109080665051660|instagram|https://www.instagram.com/p/DampSeAgPrr/|Bote svrati do Bujanovca predsednika da pozdraviš , mamu vam robovsku i izdajničko seme jebem ... Prodajete Srbiju za parizer i malo privilegija , seme vam se zatrlo|baobab_011|2026-07-10T09:56:46+00:00|1|18367976857232895
18118047316870088|instagram|https://www.instagram.com/p/DampSeAgPrr/|Добро дошао најдосаднији и најглупљи боту. Мршшшш!|nebojsa.ignjatovic55|2026-07-10T11:37:16+00:00|1|18367976857232895
18095970722347619|instagram|https://www.instagram.com/p/DampSeAgPrr/|@baobab_011 idi bre Beogradjane Krug sa SOKO vidi srbijuuu|sremacbosko|2026-07-10T13:21:33+00:00|1|18367976857232895
17885686815435783|instagram|https://www.instagram.com/p/DampSeAgPrr/|@nebojsa.ignjatovic55 usrasooo|sremacbosko|2026-07-10T13:21:51+00:00|1|18367976857232895
17863605213639160|instagram|https://www.instagram.com/p/DampSeAgPrr/|Izdao si Srbiju onog trena kad si ušao na čas maternjeg jezika ... Vidiš da krštenu rečenicu ne umeš da napišeš , robe polupismeni 🔥🙌❤️|baobab_011|2026-07-10T13:32:25+00:00|1|18367976857232895
18142447312532296|instagram|https://www.instagram.com/p/DampSeAgPrr/|Izbori pod ovim uslovima su nerealni. Sledeći zahtev studenata i građana je tražiti slobodan RTS i sređivanje biračkog spiska.|nklnsk|2026-07-10T09:10:00+00:00|0|
18088749434112785|instagram|https://www.instagram.com/p/DampSeAgPrr/|Blokaderi,vi niste studenti 260000h.uci,jebe im se za vas dokolicare.Nisu da ludi da gube privilegije.|boban6413|2026-07-10T12:51:36+00:00|1|18142447312532296
17918937714403931|instagram|https://www.instagram.com/p/DampSeAgPrr/|Ja mislim obrnuto,vece su mu sanse da dobije na zajednickin izborima da prislepa nekog uz sebe nego na odvojenim,tu gubi sigurno|pera53998|2026-07-10T08:24:49+00:00|0|
18137061475605113|instagram|https://www.instagram.com/p/DampSeAgPrr/|@pera53998 KO veruje da nije gotov.? Brine sekta.|_cordex|2026-07-10T09:25:33+00:00|1|17918937714403931
