id|source|url|text|author|created_at|is_reply|parent_id
18064825352722549|instagram|https://www.instagram.com/p/DasyNHLMNeD/|Ako je Siniša rekao Molim, znamo šta Vučko želeo da mu kaže😂|maja_petrovic986|2026-07-12T17:33:32+00:00|0|
18059093159762130|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@maja_petrovic986 😂😂😂😂😂😂😂😂😂|feridfetahovic020|2026-07-12T19:21:50+00:00|1|18064825352722549
18005106668942537|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@maja_petrovic986 😂😂😂😂😂|samo__vagabundo|2026-07-12T21:24:47+00:00|1|18064825352722549
18381134242160090|instagram|https://www.instagram.com/p/DasyNHLMNeD/|"@maja_petrovic986 Ne.Rekao je ""Poljubiš me gde pišam"".Pederi u svakom slučaju"|ivan___kovacevic|2026-07-12T21:34:01+00:00|1|18064825352722549
18144546742477833|instagram|https://www.instagram.com/p/DasyNHLMNeD/|Predsedniku koje države je ovo dozvoljeno. 😮|ivica__jevtic|2026-07-12T17:30:43+00:00|0|
17964151122135491|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@ivica__jevtic svakome.....sta je problem?|slavkolisica777|2026-07-12T17:48:58+00:00|1|18144546742477833
18445926247142050|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@slavkolisica777 ajde prvo nauči da čitaš i pišeš|ivica__jevtic|2026-07-12T18:20:30+00:00|1|18144546742477833
18091545467572494|instagram|https://www.instagram.com/p/DasyNHLMNeD/|"@ivica__jevtic Mi nismo ""drugi"",mi smo Srbija i Srbi,a mi smo najbolji i imamo najboljeg predsednika..."|slavica_stokic|2026-07-12T19:12:56+00:00|1|18144546742477833
17966359959068637|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@slavica_stokic Ako vam je stalo do Srbije, odselite  se.... Što dalje.|ivica__jevtic|2026-07-12T19:15:01+00:00|1|18144546742477833
17957716908178995|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@slavica_stokic gospodjo imate toliko sprcanih godina u guzici a nista neznate,žali bože vašeg života i 80 godina u gizici|tikica0802|2026-07-12T19:21:01+00:00|1|18144546742477833
18367805044228635|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@slavica_stokic predsednik nema ustavna ovlascenja da raspolaze budzetom i da trazi|sifra_vuk|2026-07-12T20:49:13+00:00|1|18144546742477833
18019817756896904|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@slavkolisica777 Kojem tačno? Ovo je posao Đure Macuta ako znaš ko je to!?|veljko3825|2026-07-12T21:58:58+00:00|1|18144546742477833
17925647100142315|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@slavica_stokic Ti si debilcina,idi leci se.|bojan__bosnic|2026-07-12T22:11:55+00:00|1|18144546742477833
17869572711566437|instagram|https://www.instagram.com/p/DasyNHLMNeD/|Mi u selu odavno nemamo signal za telefone... To nam jw drugi zahtev...|baslo1001|2026-07-12T19:18:54+00:00|0|
18109582546950040|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@baslo1001 hahahahaha 😂|nemanja.nn|2026-07-12T19:50:35+00:00|1|17869572711566437
17979206915890983|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@baslo1001 😂😂😂😂😂|zoricakosic|2026-07-12T20:23:41+00:00|1|17869572711566437
17893923318372705|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@baslo1001 Buhagahahaha munem 👻👻|andrijat.984|2026-07-12T20:24:49+00:00|1|17869572711566437
18030768227650051|instagram|https://www.instagram.com/p/DasyNHLMNeD/|Haahaahhahaahhaha pa ovo je komedija 😂😂😂😂|srleee7e|2026-07-12T16:58:19+00:00|0|
17925798681144214|instagram|https://www.instagram.com/p/DasyNHLMNeD/|Tragikomedija.|sladjana.antonic.75|2026-07-12T17:15:22+00:00|1|18030768227650051
18121198381696962|instagram|https://www.instagram.com/p/DasyNHLMNeD/|За дебила као што си ти наравно да је комедија 😂😂😂😂😂|komadjovo|2026-07-12T18:06:01+00:00|1|18030768227650051
18092091503574570|instagram|https://www.instagram.com/p/DasyNHLMNeD/|"PREMINUO NOVINAR STEFAN CVETKOVIĆ  NA IZDRŽAVANJU ZATVORSKE KAZNE.. UBI GA PREJAKA ISTINA
—
UMRO JE NA NAJSVETIJI PRAZNIK KAO VELIKI MUČENIK.. SVETI PETAR I PAVLE SU UZ STEFANA!!
—

Tokom karijere pisao je o osetljivim slučajevima poput ubistva Olivera Ivanovića.

Svojevremeno je čak nepravnosnažno osuđen na više od dve godine zatvora po prijavama funkcionera Srpske napredne stranke. 

—

https://nova.rs/vesti/drustvo/preminuo-novinar-stefan-cvetkovic-iz-bele-crkve/
—

POSLEDNJI INTERVJU: https://www.facebook.com/share/v/1ECkfHyC79/?mibextid=wwXIfr"|wnolpe|2026-07-12T19:13:53+00:00|1|18030768227650051
18087323411429761|instagram|https://www.instagram.com/p/DasyNHLMNeD/|Za tebe je super, jeli?|jelovci_resort|2026-07-12T19:47:39+00:00|1|18030768227650051
18618021247004970|instagram|https://www.instagram.com/p/DasyNHLMNeD/|Pa jedini debil ovde si ti, sto verujes u ovaj cirkus, botino jadna|srleee7e|2026-07-12T19:54:35+00:00|1|18030768227650051
18126316543710161|instagram|https://www.instagram.com/p/DasyNHLMNeD/|Sta moze glupi sendvicar,covek koji proda sebe I svoje bliznje za 2000 I paket nekog sranja.Nabijem vas na kurac kompletno|periz_milan|2026-07-12T21:57:27+00:00|1|18030768227650051
17897795949498465|instagram|https://www.instagram.com/p/DasyNHLMNeD/|Ahahahaha koje loše glumatanje. Ali uvek ista fora, kao zove malog|vi.king.ra.11|2026-07-12T16:43:56+00:00|0|
17991232155005912|instagram|https://www.instagram.com/p/DasyNHLMNeD/|"@vi.king.ra.11 PREMINUO NOVINAR STEFAN CVETKOVIĆ  NA IZDRŽAVANJU ZATVORSKE KAZNE.. UBI GA PREJAKA ISTINA
—
UMRO JE NA NAJSVETIJI PRAZNIK KAO VELIKI MUČENIK.. SVETI PETAR I PAVLE SU UZ STEFANA!!
—

Tokom karijere pisao je o osetljivim slučajevima poput ubistva Olivera Ivanovića.

Svojevremeno je čak nepravnosnažno osuđen na više od dve godine zatvora po prijavama funkcionera Srpske napredne stranke. 

—

https://nova.rs/vesti/drustvo/preminuo-novinar-stefan-cvetkovic-iz-bele-crkve/
—

POSLEDNJI INTERVJU: https://www.facebook.com/share/v/1ECkfHyC79/?mibextid=wwXIfr"|wnolpe|2026-07-12T19:13:57+00:00|1|17897795949498465
17993638475806257|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@vi.king.ra.11 zabrinuta faca😂😂|zubicaleksandar91|2026-07-12T19:31:16+00:00|1|17897795949498465
18097051061244352|instagram|https://www.instagram.com/p/DasyNHLMNeD/|Ahahahahahah kakva gluma|spalle___|2026-07-12T16:57:28+00:00|0|
18603072958025128|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@spalle___ ni .burduš.nekadašnj mu nije ravan pa ni .čkalja.|aleksandar.janovic61|2026-07-12T19:29:48+00:00|1|18097051061244352
17902313196303733|instagram|https://www.instagram.com/p/DasyNHLMNeD/|@aleksandar.janovic61 ahahaha on spada u serijal život prica|spalle___|2026-07-12T19:52:47+00:00|1|18097051061244352
18134505847587493|instagram|https://www.instagram.com/p/DasyNHLMNeD/|😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂|ivonchica73|2026-07-12T19:45:37+00:00|0|
18022612190680992|instagram|https://www.instagram.com/p/DasyNHLMNeD/|Mala ćana i zvala idu na istu glumačku akademiju😂|tikica0802|2026-07-12T19:21:41+00:00|0|
18117947971866956|instagram|https://www.instagram.com/p/DasyNHLMNeD/|😂😂😂😂|vladafloyd|2026-07-12T21:03:36+00:00|1|18022612190680992
18081871268241150|instagram|https://www.instagram.com/p/DasyNHLMNeD/|👏👏👏👏👏|boban.nikolic.12139|2026-07-12T21:22:14+00:00|1|18022612190680992
17862626769642316|instagram|https://www.instagram.com/p/DasyNHLMNeD/|😂😂😂cirkus Koloradooo😂😂😂|dragan_cigin|2026-07-12T18:41:56+00:00|0|
17996370473993328|instagram|https://www.instagram.com/p/DasyNHLMNeD/|Kadriraju ga ko u pornićima 🤣😅🤣|nzzaric|2026-07-12T21:30:01+00:00|0|
