text|url
moguće da su neistine ili namešteno, jer prave građ.rat, kad već ne ide forsirana stabilnost|https://www.youtube.com/watch?v=7686dSc-alA
Pa neka odlazi zbog mira i kad ga vise niko nece.|https://www.youtube.com/watch?v=7686dSc-alA
Koji nisu besni|https://www.youtube.com/watch?v=7686dSc-alA
Koja montaza!|https://www.youtube.com/watch?v=7686dSc-alA
Hier wird Serbise diktator Vucic geprisen.Lauter lügen werden verbreitet|https://www.youtube.com/watch?v=7686dSc-alA
Tragedija,da politika razdvaja i zavadja narod,jedan isti narod.Da nas Bog sacuva od krvoprolica,ceo svet nam se smeje,kao u Africi,ne treba niko da nas napada napadamo se sami.😮|https://www.youtube.com/watch?v=7686dSc-alA
Curo steta tako lijepa a jeftina|https://www.youtube.com/watch?v=7686dSc-alA
Mars|https://www.youtube.com/watch?v=7686dSc-alA
Kaže Vučko koji prodaje svu proizvedenu municiju ka Ukraini|https://www.youtube.com/watch?v=7686dSc-alA
Da li su ovo su dvorske vesti?|https://www.youtube.com/watch?v=7686dSc-alA
Pitanje kad , građanski rat je neizbezan , to je dogovoreno mnogo unapred među lopova i tajkuna.|https://www.youtube.com/watch?v=7686dSc-alA
Laze cim zine 😂|https://www.youtube.com/watch?v=7686dSc-alA
Sta je ovo vodu vari vodu ladi pa jos izvinjenje ...Steta bas za funkcionere.Sta bese sa sibadzijama s motkama sta bi sa pendrecenjem mladih ljudi I maloletnika .Pretrpljen strah.Koliko kosta|https://www.youtube.com/watch?v=7686dSc-alA
Nešto ga jebe grčenje pušione (usta)  da ne prođe kao glišoni (dao bog)|https://www.youtube.com/watch?v=7686dSc-alA
Znamo ko rusi i pali, a i oni dobro znaju, a znace se i imena i ko je angazovao.|https://www.youtube.com/watch?v=7686dSc-alA
RASPIŠI IZBORE KUKAVICE !!!|https://www.youtube.com/watch?v=7686dSc-alA
Mars|https://www.youtube.com/watch?v=7686dSc-alA
"Sto nisi objavila kako su njegovi tzv policajci batinasi prosli i Lazarevcu..
Popili po pic.."|https://www.youtube.com/watch?v=7686dSc-alA
Toliko pozitivnih komentara😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🎉|https://www.youtube.com/watch?v=7686dSc-alA
Nazalost  za dobre ljude srbije,ali dobro za BiH manje o njoj ce se baviti..!!|https://www.youtube.com/watch?v=7686dSc-alA
Bolje bi mu bilo da se unormali .Terapiju treba da uzima redovno...|https://www.youtube.com/watch?v=7686dSc-alA
Dobraaaaa voditeljica. Tuco bi je.|https://www.youtube.com/watch?v=7686dSc-alA
Strasno,covek se davno pozdravio s mozgom|https://www.youtube.com/watch?v=7686dSc-alA
Kojeg nije ni imao!|https://www.youtube.com/watch?v=7686dSc-alA
"Bravo Vucicu samo po dogovoru""Babo Fahriju 🤲🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱"|https://www.youtube.com/watch?v=7686dSc-alA
ali ljudi jel uopste realno da postoji cacilend jeste vi uopste svesni sta je napravljeno i tome je dato ime i jos se na televiziji izgovara pa nema dalje ni u najludjim snovima takvo nesto nema sprdnja od drzave sprdnja,zamisli da bilo kom normalnom coveku objasnis cacilend tipa stabje to jel mozes da mi objasnis|https://www.youtube.com/watch?v=7686dSc-alA
Gradjani protiv policije I cacilenda ... ? To je rat ?|https://www.youtube.com/watch?v=7686dSc-alA
baj baj vucko|https://www.youtube.com/watch?v=7686dSc-alA
Hapsite Hulju!|https://www.youtube.com/watch?v=7686dSc-alA
Dajte funkcionere na ulice.Neka av izadje malo medju narod.|https://www.youtube.com/watch?v=7686dSc-alA
jel ovo njegova televizija|https://www.youtube.com/watch?v=7686dSc-alA
Lepa|https://www.youtube.com/watch?v=7686dSc-alA
Vucic zvani crna svadba|https://www.youtube.com/watch?v=7686dSc-alA
Vi ste Vuciceve medije. Nikoga ne zanimate.|https://www.youtube.com/watch?v=7686dSc-alA
Pitanje vremena kada ce Putin, Vucic, Dodik, Assad i ostali diktatori setati, igrati sah i pricati o starim vremenima u Kini|https://www.youtube.com/watch?v=7686dSc-alA
Sto nije dosao do ns stigao bi taman na zurku!!!😂😂😂|https://www.youtube.com/watch?v=7686dSc-alA
Снс је послао људе да руше просторије и тиме руше протесте, зашто су протестанти хватали момке са моткама и пајсерима и предавали их полицији ако су они хтели нереде?|https://www.youtube.com/watch?v=7686dSc-alA
"Mozda se vama nlokaderima narkomanima smucio Vucic, ali vecinski narod Srbije ga podrzava
Ziveo Vucic❤"|https://www.youtube.com/watch?v=7686dSc-alA
Smece obicno|https://www.youtube.com/watch?v=7686dSc-alA
Srbima ne trebaju neprijatelji, rat kuga ni šta god. Aami će se istrijebit|https://www.youtube.com/watch?v=7686dSc-alA
Sami|https://www.youtube.com/watch?v=7686dSc-alA
Bitango oederska sta bi radio od drugih naroda kad to radis od naroda u Srbiji|https://www.youtube.com/watch?v=7686dSc-alA
Zvaljavi treba da ode i sve ce da bude mirno.|https://www.youtube.com/watch?v=7686dSc-alA
Mala menjaj kuću dok je vreme....|https://www.youtube.com/watch?v=7686dSc-alA
A gubice kao u Fate ona stvar kada vozi bicikl😂😂😂|https://www.youtube.com/watch?v=7686dSc-alA
Jednostavno resenje za mir u Srbiji: sidji sa vlasti.  Smucio si se i bogu I ljudima.|https://www.youtube.com/watch?v=7686dSc-alA
KO dolazi poslije?Mozda ce mo od muke i povratiti kad vidimo ko je sledeci😂|https://www.youtube.com/watch?v=7686dSc-alA
