text|url
Neki srbomrzitelj.|https://www.youtube.com/watch?v=vtXToNPK9kY
"Ovo je sve ""vulinova raja""...
Saso mange....krenuli da popravljaju kisobrane, kalajsu serpe....ovi kad' stignu u BG, beogradjani moraju i oluke cuvati....posebno ako su od bakra....😮"|https://www.youtube.com/watch?v=vtXToNPK9kY
Sve Srbin do Srbina. Naprijed SNS!|https://www.youtube.com/watch?v=vtXToNPK9kY
Jeboga ti tri hiljade je tri hiljade😂😂😂😂😂😂😂|https://www.youtube.com/watch?v=vtXToNPK9kY
Zasto Vučič ubija zatvorenike zbog ljudski organa sam je izjavijo da 6ljudi spasijo  s ljudskim organima  i na žrtvam zaradjuje ogromne pare  sve ubijene iskopajte i pregledajte koliko jim manjka organa zahtevajte izpust dvojice ko su ukrivljeni za lažno Ubitstvo male Danke Vučič je sam nastimao Dankin nestanak da njenim roditeljima zahtevajte menjavu svih policistov Sudnikov i jos drugih upletenih u kriminal imam osjecaj da je i taj mladi dečko ubijen ko ga je otac trazio 5 meseci iz Hrvatske jpokoj mu duši.Koliko je roditelja brace sestra i prijatelja ozaloscenih zbog Vucica  nebi bilo prepričljivo ici u srbijo dok je Vučič na oblasti i njegova pogana banda|https://www.youtube.com/watch?v=vtXToNPK9kY
Hvala Bogu nisam sa ovim otmenim drustvom. Mirjana Lakovic|https://www.youtube.com/watch?v=vtXToNPK9kY
Sto Su I'm lepe face ubiboze|https://www.youtube.com/watch?v=vtXToNPK9kY
Eeejj DOBRA ova desno , i ja bi sa njom i na kraj sveta|https://www.youtube.com/watch?v=vtXToNPK9kY
Klempo iskenjam ti se na facu odvratnu|https://www.youtube.com/watch?v=vtXToNPK9kY
Ciganska posla 😂😂😂😂seksta još se snima kako te nije sramota UŠI CU TI IŠCUPATI IZ VRATA|https://www.youtube.com/watch?v=vtXToNPK9kY
VUCICEVA Srbija|https://www.youtube.com/watch?v=vtXToNPK9kY
1.075 komentara, najviše od svih prikaza. Znači zaslužili su zajebanciju.|https://www.youtube.com/watch?v=vtXToNPK9kY
Pamet im se u očima vidi|https://www.youtube.com/watch?v=vtXToNPK9kY
Mnogima je, na žalost, to jedini izlazak iz sela i kao da idu na more.|https://www.youtube.com/watch?v=vtXToNPK9kY
Bolje i ovo nego ovi sa tirkiznom kosom i brokoli carapama.|https://www.youtube.com/watch?v=vtXToNPK9kY
Nije hejt ali ovo nisu Srbi , gradjani Srbije mozda|https://www.youtube.com/watch?v=vtXToNPK9kY
Ma nije sramota biti socijalni slucaj...ja sam cesto u Austriji,i ziveo sam tamo dosta dugo 30 posto Austrjanaca,nece da radi nista,dobijaju pare od drzave i nece da rade,al ovo je dno dna,nije mi jasno!|https://www.youtube.com/watch?v=vtXToNPK9kY
Јел ви то вређате људе друге боје коже ?|https://www.youtube.com/watch?v=vtXToNPK9kY
Problem vas blokadera je što svakog podcenjujete. Zanima me kako vi izgledate koji ove ljude zlonamerno komentarišete?|https://www.youtube.com/watch?v=vtXToNPK9kY
Ima li tu neki da mu inteligencija prelazi broj cipela   ...?|https://www.youtube.com/watch?v=vtXToNPK9kY
Srpski lumpenproletarijat....|https://www.youtube.com/watch?v=vtXToNPK9kY
Neka, neka, samo se snimajte. Necete ni vi biti zaboravljeno kad zvaljo zvaljavi padne i ode da lezi sa njegovim krimosima. I vas cemo se setiti, nista ne brinite|https://www.youtube.com/watch?v=vtXToNPK9kY
Srbija majka|https://www.youtube.com/watch?v=vtXToNPK9kY
Kasting kod Kusturice|https://www.youtube.com/watch?v=vtXToNPK9kY
Ovo je izrod, okot, nije narod....|https://www.youtube.com/watch?v=vtXToNPK9kY
🇷🇸🇷🇸🇷🇸❤❤❤|https://www.youtube.com/watch?v=vtXToNPK9kY
Ovakve sve vratiti u Palestinu.|https://www.youtube.com/watch?v=vtXToNPK9kY
😂😂😂😂😂😅😅😅|https://www.youtube.com/watch?v=vtXToNPK9kY
"Majn Kampf- A. Hitler :
"" Propaganda mora biti narodnjačka, mora se prilagoditi 
sposobnosti 
shvatanja najograničenijih """|https://www.youtube.com/watch?v=vtXToNPK9kY
Bednici|https://www.youtube.com/watch?v=vtXToNPK9kY
Jadnici|https://www.youtube.com/watch?v=vtXToNPK9kY
Da li se sećate one pesme,  Aj, ciganska je tuga pregolemaaa, niko ne zna šta se cigi spremaaa ???? Haljav senvič ???|https://www.youtube.com/watch?v=vtXToNPK9kY
Odakle vam pare za karte|https://www.youtube.com/watch?v=vtXToNPK9kY
Pa citava ova vasa objava je ravna ne diskriminaciji,vec fazsizmu. Misliite li da je ovo put koji ce vas dovesti do vlasti, rugajuci se malom, obicnom coveku?!|https://www.youtube.com/watch?v=vtXToNPK9kY
Koje glupe face|https://www.youtube.com/watch?v=vtXToNPK9kY
Vi koi pljujete po siromasnim gradnanima svoje zemnje zaboravljate da sirotinja prva bude mobilisana u ratu a bogataši pobegnu iz države.|https://www.youtube.com/watch?v=vtXToNPK9kY
Tuga i jad|https://www.youtube.com/watch?v=vtXToNPK9kY
"Ко год да су кренули су на право место.
Србенде."|https://www.youtube.com/watch?v=vtXToNPK9kY
A bolesnim umovima smeta STETA LAZA MALI DA PRIMI BOLESNIKE|https://www.youtube.com/watch?v=vtXToNPK9kY
Moze li vozac zavezanih ociju voziti😂😂😂😂|https://www.youtube.com/watch?v=vtXToNPK9kY
"Akademski skup. "" Cega se pametan stidi ,budala se ponosi "" Ali bice to sto biti mora."|https://www.youtube.com/watch?v=vtXToNPK9kY
