text|url
Jad i cemer|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Pravi srbi|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Uhapsiti zvalavog ubicu Srbije !|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Nepomjanik Glava i đzep đaka koji zele da uče pa makar i od 80.godina t.z.Caci..... ....DROGIRAS LI SE TI EL LABIO ILI SI PRIRODNO BLESAV???? I MADURO JE IMAO SVOJU NAORUŽANU CACI VOJSKU ALI GA NE SPASISE OD TRAMPA!!!!!|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Ako Guzana odredjuje njegov odnos sa javnošću, tada nije ništa manje dobra na tom poslu kao što je Vuk bio dobar u javnom životu Srbije.|https://www.youtube.com/watch?v=M8X1MOBGeSQ
gomila smradova na celu sa smradinom|https://www.youtube.com/watch?v=M8X1MOBGeSQ
15 ljudi ga čuva zamislite koliko se plasi metka i koliko ga narod voli|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Ovaj iza njega obučen u maslinasto zelenu košulju, malo manje da ždere piva i malo više da trenira.|https://www.youtube.com/watch?v=M8X1MOBGeSQ
MONTIRAO SI KLOZET PRED SKUPSTINOM A VOLIS SRBIJU|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Ziveo Vucic Srbin zbog njega evo sesta godina u Nemackoj. Ne zalimo se ali nije ko sto je bilo..|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Lažov kao on nema kredibilitet da bude ni predsednik mesne zajednice.|https://www.youtube.com/watch?v=M8X1MOBGeSQ
"Zar niko od botova ne zna da napiše ""predsednik"""|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Ćacad|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Snimase film|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Najbolji|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Siveo presetnik vucic samo napred nema predaja|https://www.youtube.com/watch?v=M8X1MOBGeSQ
"""presetnik"" Ajde ti na livadu da paseš travu!"|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Siveo|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Живео Председник Вучић и СНС!|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Branis izdajnicku hulju.Amfilohije je javno rekao|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Ukalja hulja zastavu i himnu.misle ovi caci u crnom da su mnogo jaki.a neznanju jadni da je najaci prirodan mišić a ne od tableta naduvan.neka dodju u šumu na trenig|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Где је он? Не видим га од телохранитеља. Зар се председник плаши својих присталица????|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Pogledajte mu facu na pocetku klipa i iskreno recite bez obzira da li ga podržavate ili ne, da li je ovo covek koji je miran, siguran u sebe, vodja koji stoji iza svega sto kaze, ili sa druge strane covek koji deluje jako zabrinuto, zbunjeno, koji bi da moze izasao iz svoje koze...? Ali iskreno stopirajte snimak|https://www.youtube.com/watch?v=M8X1MOBGeSQ
ovi dvojica ko americka tajna sluzba al iz pripizdine|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Kome ces smeti pokazati snimak.|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Hahaha kako se okruzio zastitarima, nr smije Hulja među narod.|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Срећа нека буде и у миру.п|https://www.youtube.com/watch?v=M8X1MOBGeSQ
Zvalava picousta izdrkotina, veleizdajnik.|https://www.youtube.com/watch?v=M8X1MOBGeSQ
,nigde naroda samo koBre oko ovog nesrećnika. Izdaš Srbiju i onda puštaš njenu himnu,sinonim za osobu koja je licomer!|https://www.youtube.com/watch?v=M8X1MOBGeSQ
