id|source|url|text|author|created_at|is_reply|parent_id
UgwSuK6mJvW4EyYHJQ14AaABAg|youtube|https://www.youtube.com/watch?v=BFwzxYam6Ic|Ћаци, где ти књига ћаци?|@emperorthragg134|2025-05-22T20:03:27Z|0|
UgysPVQwJx7Qss1asf54AaABAg|youtube|https://www.youtube.com/watch?v=BFwzxYam6Ic|Zar im nije dosta ona rava Mina Vrbaški u Čacilendu!|@vladolorbek5234|2025-05-09T17:30:57Z|0|
Ugzi6P1cS3IRHajwD194AaABAg|youtube|https://www.youtube.com/watch?v=BFwzxYam6Ic|Kad ćaci glumi da je normalan|@Branja1966|2025-05-09T07:17:03Z|0|
Ugx8zUwJvPw22HOOqSx4AaABAg|youtube|https://www.youtube.com/watch?v=BFwzxYam6Ic|A oni drugi su kod picule na jajima masu nam|@Bobo-1235|2025-05-09T05:49:52Z|0|
UgwdF0g96lsLnwFkWDR4AaABAg|youtube|https://www.youtube.com/watch?v=BFwzxYam6Ic|Strašno.....|@ŽeljkoMatić-i3s|2025-05-08T18:11:23Z|0|
UgyP52ugCO5hzGP3oYp4AaABAg|youtube|https://www.youtube.com/watch?v=BFwzxYam6Ic|BRAVO, BRAVO, BRAVO CESTITI STUDENTI IZ PIONIRSKOG PARKA. VI STE NASA NORMALNA DJECA, NASA BUDUCNOST. PRIRODNO JE BITI ZALJUBLJEN. ZELIM VAM SVU SRECU OVOGA SVJETA.|@milenedimovic8617|2025-05-08T10:06:31Z|0|
UgyP52ugCO5hzGP3oYp4AaABAg.AHrNeT_VIIQAHriyfUXt5u|youtube|https://www.youtube.com/watch?v=BFwzxYam6Ic|@milenedimovic8617 Ti si umobolna|@mirjanakarakas6461|2025-05-08T13:21:31Z|1|UgyP52ugCO5hzGP3oYp4AaABAg
UgzK7-klthuNmsA9pe54AaABAg|youtube|https://www.youtube.com/watch?v=BFwzxYam6Ic|Pa gdje nađu ovakve?U stvari da su normalni ne bi bili ćaciji.|@MarijanMajetić|2025-05-06T20:23:28Z|0|
UgzK7-klthuNmsA9pe54AaABAg.AHnKfVqD2bNAHrNmbWaBM6|youtube|https://www.youtube.com/watch?v=BFwzxYam6Ic|TI SI JEDNA MIZERIJA KOJA LIZE GUZICU DJILASU I SOLAKU ZA SITNE PARE.|@milenedimovic8617|2025-05-08T10:07:37Z|1|UgzK7-klthuNmsA9pe54AaABAg
UgzQDChVmO1Yj2HeIrV4AaABAg|youtube|https://www.youtube.com/watch?v=BFwzxYam6Ic|Bravo momci❤❤|@zoraurosevic547|2025-05-05T04:25:19Z|0|
UgwvK5SYe6ktJ8ypiwN4AaABAg|youtube|https://www.youtube.com/watch?v=BFwzxYam6Ic|Svi vi koji ste,skaradno komentarisali, nemate pojma sta je mladost i obrazovan covek, gde bi vi..a da...vi ste,,tapsaci,, i,, zvizdaci,, sa dramskom, pauzom|@jovankavlajkovic1288|2025-05-05T01:02:11Z|0|
UgwMZTGXvbqMqXh4Nil4AaABAg|youtube|https://www.youtube.com/watch?v=BFwzxYam6Ic|PRIMITIVIZAM|@miroslavmiric1202|2025-05-04T17:18:13Z|0|
