id|source|url|text|author|created_at|is_reply|parent_id
UgxxywRUeW4fH48cCNB4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|I na kraju 10 :0|@NikolaPistalovic|2026-03-31T20:11:04Z|0|
Ugxou3uoWqpCeoONZBt4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|pocivaj u miru legendo roka ali sramota za studente|@itsKolopss|2025-04-21T19:07:38Z|0|
Ugx5uljF_Kt5EUWS-aR4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Zasto njegova pesma kad se prodao? Najveci srpski nacionalista u najpozitivnijem smislu te reci se prodao bagri! Fuuuuuj|@mokrogorac|2025-03-29T19:34:13Z|0|
UgzDocXMt3bn-OVS-054AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Bože, čuvaj narod Srbije❤|@DraganDjorovic-e1m|2025-03-28T21:59:24Z|0|
UgxzM8pxMM9EAfwgs1Z4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Ovo je Srbija❤|@DraganDjorovic-e1m|2025-03-28T21:58:32Z|0|
UgxefR3CCwDfrpcWZt54AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Lepi i slozni narod srbije.protiv lopova,bahatosti i bandita.posle toga je vučic reko da su se bogati okupili ološ jedan.|@dalibormilenkovic1803|2025-03-25T21:32:48Z|0|
Ugyx8HpRFqnY2kueEmt4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Pogledaj Dom svoj andjele sve sami neradnici i klošari. Pobedila je Srbija 💪💪💪|@draskojakovljevic4885|2025-03-17T23:10:12Z|0|
Ugy3GXxvvAKHbZ0Erel4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|SAMO HRABRO UZDIGNUTE GLAVE DO SLOBODE!|@aleksandarnikolic8754|2025-03-17T22:38:51Z|0|
Ugy3GXxvvAKHbZ0Erel4AaABAg.AFmpQJA_c9_AYPlZ2jzLRs|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Aleksandre.....a ko vam uslraćuje   slobodu ....??????😩👎🤑😎👹huligani sa ulice  slobodni građanima  ......dokle .!!!????bre  bando plaćenička  le😊šinari .🦨🐗💩👹|@fidaaleksic3956|2026-06-23T20:19:49Z|1|Ugy3GXxvvAKHbZ0Erel4AaABAg
UgwUJgHAoO9Z65xOuZ54AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|"Nisu to sve Studenti od svih Studenata u Srbiji blokader su samo 10 do 13% ostali cekaju ishod onih koji su placeni i cekaju naredjenje Plenuma koje vode steane sluzbe.
U pravu su oni ja im se poklanjam ali sta ce da naprave ?kome? Ovoj Opoziciji koja je izdajnicka treba Vucic da ode tacno je korumpirana Banda svi do jednog ali koga cemo mi Gradjani Srbije da biramo😮😮"|@todorovicmilenko9071|2025-03-17T16:15:50Z|0|
UgzvgJv7KZA8w7ypuW54AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Ovo nije spektakl ovo je uzas i zloupotreba omladine. Umjesto da ih nadahnjujemo da uce i zavrsavaju skole i fakultete guramo ih da se biju i prave nerede radi necijeg licnog interesa. ZALOSNO I SRAMNO.|@atanasijejovanovic4751|2025-03-17T12:14:16Z|0|
UgzrEx6yiCY-2exfQjp4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|VI STE SLEPCI SVI TU JER DI SI TI VIDIO DA U SRBIJI OTJERAS VLAST SA VUVUZELAMA 😂😂😂😂😂😂😂 SRBI SU TO NEKAD BOLJE RADILI A VI STE SLEPCI SVI TU|@Zylfi-rc|2025-03-17T11:55:27Z|0|
UgyPx5HTgh5ofV1L5jV4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Anđeeeleeeeeee???????✊🏻🇷🇸❤️‍🩹❤️‍🩹❤️‍🩹|@OliveraPetrovic-s3u|2025-03-17T10:24:35Z|0|
Ugwey9hD0DSegA6LGK14AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Treba menjati zakon pogotovo u policiji ima dosta nasilnih nepismenih nekulturnih agresivnih...Nis ..Doljevac..zitoradja...Prokuplje..izbaciti bahate dovesti kulturne polucajce|@SasaStamenkovic-b2i|2025-03-17T07:02:28Z|0|
UgzLFsSsduyKVmP2wER4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Upravo tako cemerni i bolesni slepi od paucine na ocima Kada ce ovaj balkanski narod da se suoci sa istinom Citam komentare i nevjerujem ego vas odvede u pakao|@amiratarik-un7dq|2025-03-17T01:15:40Z|0|
UgwR7HnOTx2s0jipT0Z4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Preko Milion ljudi|@verodrago|2025-03-16T21:08:25Z|0|
UgwR7HnOTx2s0jipT0Z4AaABAg.AFk5H0Zn8-MAFm8iQy7QrB|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Ih bre 2 miliona jel ti neznas da brojis😂|@todorovicmilenko9071|2025-03-17T16:16:59Z|1|UgwR7HnOTx2s0jipT0Z4AaABAg
UgwR7HnOTx2s0jipT0Z4AaABAg.AFk5H0Zn8-MAFq8VnJVuOe|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|​@todorovicmilenko9071 краљу Славија шири простор око фонтане је површине 25000 м2, на један м2 стаје 4 особе у просеку, дакле 100 хиљада људи је било само на Славији, а где су још Булевар ослобођења, Немањина, Краља Милана и остале да не набрајам које су биле крцате....Преко милион људи је било|@stefansvicevic7022|2025-03-19T05:32:05Z|1|UgwR7HnOTx2s0jipT0Z4AaABAg
UgwR7HnOTx2s0jipT0Z4AaABAg.AFk5H0Zn8-MAJT4T4yc_eL|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Realno oko pola miliona, više nego što je onaj pičkousti izdajnik ikada mogao da skupi|@Asmrtist021|2025-06-17T07:20:34Z|1|UgwR7HnOTx2s0jipT0Z4AaABAg
UgxDf1SVwruJPaczvP94AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Ne poistovjecujte Andjela Sa vasim djelom antihrista Gazite po pravoslavlju Neka vam je na dusu|@novicabozi|2025-03-16T19:30:52Z|0|
UgzxT0OzNqbgm-31voZ4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|88000.....😂😂😂😂😂😂|@PeraPeric-r9p|2025-03-16T13:51:24Z|0|
Ugz8tOOcblTBmJCSJcR4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Uništite Satanu u korenu,da nikada više ne nikne to zlo!!!!💯✅👅👏🫶👍🫰❤️‍🔥🎇🙏😇🙏😇🙏😇🙏😇🙏😇🙏😇🙏😇🙏😇|@TITOYU2911|2025-03-16T09:21:00Z|0|
UgwTJu82nqqPtzi6b2p4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|POSLE SVEGA STA SE JUCE DOGODILO U BEOGRADU SADA SAM JOS PONOSNIJA NA STUDENTE I SAV PRAVDOLJUBIVI SRBSKI NAROD KOJI JE TAMO BIO.|@NadaRunjo|2025-03-16T07:36:46Z|0|
UgwH8YKcWZc6_M5Mb514AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|"Vec u 21.30 casova, ulice su bili prazne.
Hvala boze da je sve bilo mirno!
Zivela Srbija! 🇷🇸🍀❤"|@Sonja-j8d|2025-03-16T07:17:51Z|0|
UgwH8YKcWZc6_M5Mb514AaABAg.AFibDqQqhqSAFl7J0kW-ZI|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Natavno da je mirno to su samo huskasi navukli jadnike i pobjegli u Dubrovnik,Vucicu hapsi bagru i dtrektno corka😂😂|@milankagavric2660|2025-03-17T06:45:24Z|1|UgwH8YKcWZc6_M5Mb514AaABAg
UgzqjfdBG--9jOaoexd4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|107000 😂😂😂 Па они су невероватни|@sufalc5454|2025-03-16T06:22:26Z|0|
Ugzq0Mcyp354CLvrg5B4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Стока сељачка напунила Београд и сада коначно смрад се вратио својим забитима да  наставе да смрде|@user-gs5wt4ei1f|2025-03-16T04:21:46Z|0|
Ugya-E54i-TRihPDtEx4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Lepi moj Beograd i najlepsi Srpski narod 😍😍😍😍😍 Preponosna na sve vas, danas i svaki dan! ❤❤❤❤❤|@ivanapejatovic4914|2025-03-16T00:56:59Z|0|
Ugz8ts8Iv2cshRAYvjZ4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Stoka nevaspitana,niti su radili niti uce niti ce raditi NITI CE OD TAKVIH POSTATI LJUDI ZASTO IDU NA DEMONSTRACIJE KADA SU ONI TI LJENJIVCI I ONI PRAVE SAV NERED U ZEMLJI I NEDAJU CESTITOJ DECI DA UCE. STOKA NEVASPITANA KOJA UNISTAVA SRBIJU.MADA MI I NIJE ZAO KAD JEDAN PREDSEDNIK NEMA RJEC DA SA VOJSKOM I POLICIJOM ZASTITI I ONE KOJI NECE NA ULICU HOCE DA UCE TAJ   NESPOSOBNI VUCIC NECE NI TU CESTITU DECU I STUDENTE DA ZASTITI OD OVE BESNE LAVINE KORUPTNIH NEZNALICA.NEZNA SE DA ÖI SU TI STUDENTI OPASNIJI ILI VUCIC KOJI DOZVOLJEVA DA PERU WC SA NJIM.|@bozidarkapasagic8565|2025-03-15T22:17:41Z|0|
Ugxt8YaiSIBN49wPF3N4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Кад оно ћорак од револуције|@babakuranaicikakure|2025-03-15T21:05:28Z|0|
Ugxt8YaiSIBN49wPF3N4AaABAg.AFhW8_vYEHfAJT591iQ11a|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|A šta je trebalo, da dodje milion ljudi sa motkama da pobijemo ove u pionirskom parku? Pa nismo mi ubice, već oni|@Asmrtist021|2025-06-17T07:26:34Z|1|Ugxt8YaiSIBN49wPF3N4AaABAg
Ugxt8YaiSIBN49wPF3N4AaABAg.AFhW8_vYEHfAJTBVzn_MBT|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|​@Asmrtist021будало не сери, шта су вам та деца крива|@babakuranaicikakure|2025-06-17T08:22:08Z|1|Ugxt8YaiSIBN49wPF3N4AaABAg
UgwlEwSl5bGrS6kZ6kx4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Студенти❤Грађани свака част❤ преко триста хиљада људи сто посто❤|@anagajic4173|2025-03-15T20:48:07Z|0|
UgwlEwSl5bGrS6kZ6kx4AaABAg.AFhU9R6KAnuAFl_1X-gxms|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Koji 300,bilo mnogo visee verujte u novom sad kad je bio protest bilo je oko 300hiljada|@BrankoGrmas-m1u|2025-03-17T10:56:25Z|1|UgwlEwSl5bGrS6kZ6kx4AaABAg
Ugyn5o7rxh8f_-bjqFJ4AaABAg|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Kaze policija 100 hiljada 😂😂😂|@Badabum60|2025-03-15T20:40:18Z|0|
Ugyn5o7rxh8f_-bjqFJ4AaABAg.AFhTGEPsbmVAFhU34Eq_wR|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|Мајки сто хиљада што би рели,шта они су бројали главу по главу барем триста четристо хиљада гарантујем❤|@anagajic4173|2025-03-15T20:47:14Z|1|Ugyn5o7rxh8f_-bjqFJ4AaABAg
Ugyn5o7rxh8f_-bjqFJ4AaABAg.AFhTGEPsbmVAFhUOr4Mthd|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|@anagajic4173  upravo!|@Badabum60|2025-03-15T20:50:13Z|1|Ugyn5o7rxh8f_-bjqFJ4AaABAg
Ugyn5o7rxh8f_-bjqFJ4AaABAg.AFhTGEPsbmVAFhUZH5xyvJ|youtube|https://www.youtube.com/watch?v=GsXOqogj_co|@anagajic4173 Ma milion.|@KingBaldwin-k9r|2025-03-15T20:51:39Z|1|Ugyn5o7rxh8f_-bjqFJ4AaABAg
