id|source|url|text|author|created_at|is_reply|parent_id
UgwnzIZdEqeJenB4JyB4AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|Jad i cemer|@SasaDjurdjevic-i8i|2026-07-06T22:12:12Z|0|
UgwaboqXZwRV9YaGtN14AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|Pravi srbi😂🚜🚜|@vedadlupic8095|2026-04-17T16:48:41Z|0|
Ugw4kw2wgvFpNUmcwIV4AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|Uhapsiti zvalavog ubicu Srbije !|@istinaistina3354|2026-02-03T07:52:18Z|0|
Ugx83Jt7g8kVYzZ9nGp4AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|"Nepomjanik Glava i đzep đaka koji zele da uče pa makar i od 80.godina t.z.Caci.....
....DROGIRAS LI SE TI EL LABIO ILI SI PRIRODNO BLESAV????
I MADURO JE IMAO SVOJU NAORUŽANU CACI VOJSKU ALI GA NE SPASISE OD TRAMPA!!!!!"|@Slavicapanic-z4z|2026-01-29T10:49:44Z|0|
UgykSyxVsGawSMzkbph4AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|Ako Guzana odredjuje njegov odnos sa javnošću,  tada nije ništa manje dobra  na tom poslu kao što je Vuk bio dobar u javnom životu Srbije. 😢|@nikolagrigorov3210|2026-01-24T22:30:22Z|0|
Ugxf1L4MlHavknPt2Pl4AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|gomila smradova na celu sa smradinom|@bobanoption|2026-01-04T16:43:16Z|0|
UgwqdIf36HnD42EEclV4AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|15 ljudi ga čuva zamislite koliko se plasi metka i koliko ga narod voli|@user-w8jhtre23|2025-11-18T21:21:42Z|0|
UgzBtPMkgSE4QBwH17l4AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|Ovaj iza njega obučen u maslinasto zelenu košulju, malo manje da ždere piva i malo više da trenira.|@Dantes-jb9pp|2025-11-05T18:05:39Z|0|
Ugx_ZMXzVZ3JcC7nzqF4AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|MONTIRAO SI KLOZET PRED SKUPSTINOM A VOLIS SRBIJU|@bobanoption|2025-11-03T12:47:00Z|0|
Ugyg-h54Z3forMvMMGl4AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|Ziveo Vucic Srbin zbog njega evo sesta godina u Nemackoj. Ne zalimo se ali nije ko sto je bilo..😂|@Secanja-u-pokretu|2025-11-02T17:31:36Z|0|
UgxGc784Z2DkxSye6514AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|Lažov kao on nema kredibilitet da bude ni predsednik mesne zajednice.|@RatkoMladenovic|2025-10-29T13:34:59Z|0|
Ugzlv03JUrJYqV2cQM54AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|"Zar niko od botova ne zna da napiše ""predsednik""😅😅😅😅"|@jasnapanic3621|2025-10-21T06:32:55Z|0|
UgxgrMVNJcjRSorziah4AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|Ćacad 💩💩💩💩💩💩|@DejanX_1990|2025-10-02T14:28:53Z|0|
Ugys0JLzw34EPOrYpc14AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|Snimase film|@VinuVasilije|2025-09-28T19:53:49Z|0|
UgzUapk2goN85rInixl4AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|Najbolji ❤❤❤|@DraganaVujicic-g2k|2025-09-28T19:01:47Z|0|
UgzV_JDWFoDxERZk7xF4AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|❤❤❤👍👍👍👍👏👏👏|@DraganaDasic-lw5wj|2025-09-25T08:28:40Z|0|
UgxihUo8rKOU8QI1_c54AaABAg|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|Siveo presetnik vucic samo napred nema predaja 💪 🇷🇸 💪 🇷🇸 💪 🇷🇸 💪|@lilidimi9272|2025-09-22T16:27:14Z|0|
UgxihUo8rKOU8QI1_c54AaABAg.ANNp7oGtDYhAOXQt_fP6QF|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|"""presetnik"" 😅😅😅😅😅
Ajde ti na livadu da paseš travu!"|@jasnapanic3621|2025-10-21T06:30:30Z|1|UgxihUo8rKOU8QI1_c54AaABAg
UgxihUo8rKOU8QI1_c54AaABAg.ANNp7oGtDYhAPJgnBk88jE|youtube|https://www.youtube.com/watch?v=M8X1MOBGeSQ|Siveo|@markozivadinovic5656|2025-11-09T19:00:12Z|1|UgxihUo8rKOU8QI1_c54AaABAg
