id|source|url|text|author|created_at|is_reply|parent_id
UgxVxVC6yDjcGKOhQeZ4AaABAg|youtube|https://www.youtube.com/watch?v=PDu79pMVRmw|2026.ima li promjena?|@ottiliaradatovics4745|2026-03-25T17:47:01Z|0|
UgzxybYaxWaeBIA-O-d4AaABAg|youtube|https://www.youtube.com/watch?v=PDu79pMVRmw|Youtube channel VS 5 TVs with national frequency?? 😢 I would like to take a victory but... 😔😞|@AcaSiptar|2026-03-18T09:36:42Z|0|
UgyofBYw0YsQ5W5WpOt4AaABAg|youtube|https://www.youtube.com/watch?v=PDu79pMVRmw|"RTS=Informer
Hulju na Robiju!"|@milos929|2025-10-28T11:40:53Z|0|
UgzslrtCk3C4H5tskyx4AaABAg|youtube|https://www.youtube.com/watch?v=PDu79pMVRmw|RTS na lomaču.|@torontal8682|2025-10-28T10:42:46Z|0|
Ugz3NoFsdgwCSn0Ogzl4AaABAg|youtube|https://www.youtube.com/watch?v=PDu79pMVRmw|"Bravo studenti 💪🇷🇸
Probudili ste ono najlepše u narodu, a pre svega empatiju ❤
Kada sam pre 9 godina napustio Srbiju, ova država je bila nacija mumija. Niko na ništa nije reagovao..."|@SADilNikad|2025-09-30T00:13:28Z|0|
UgzEvF6rICEiMhRpqBl4AaABAg|youtube|https://www.youtube.com/watch?v=PDu79pMVRmw|Лустрација !!!!|@cvrc8728|2025-08-28T18:31:44Z|0|
Ugzm-eJfPfF_kmN230p4AaABAg|youtube|https://www.youtube.com/watch?v=PDu79pMVRmw|"Blokirati ih opet dok ga ne ugase 💪💪
Studenti, narode zasto se placa ovo smece??"|@jasminakrings8161|2025-08-16T12:48:29Z|0|
UgzYqoh1kdGKtyRMBct4AaABAg|youtube|https://www.youtube.com/watch?v=PDu79pMVRmw|Steta Sto nezivite u Nemackoj  Ni govno OD vas nebi ostali na ulici😢😢😢|@MladanMaksic|2025-06-29T20:27:49Z|0|
UgytVKhVKZZLvBw72hd4AaABAg|youtube|https://www.youtube.com/watch?v=PDu79pMVRmw|"А није вам пало на памет да се мало блокира и  пинк телевизија ,или то није део агенде или можда не треба дирати оне који пире културу!? 
Мислите о томе !!!"|@MalnourishedPanda|2025-06-14T10:53:28Z|0|
UgwrK2IWaMWgQ2RguWp4AaABAg|youtube|https://www.youtube.com/watch?v=PDu79pMVRmw|Подршка, наравно, али, зашто хрватска латиница? Она је наслеђе комунизма, насилног мењања језичког и културног стандарда, одраз незнања и скоројевићства.|@BelgradeArch|2025-06-07T20:56:01Z|0|
UgwrK2IWaMWgQ2RguWp4AaABAg.AJ4mpuugxu3AKv5c5hdNZH|youtube|https://www.youtube.com/watch?v=PDu79pMVRmw|Srbija ima i latinicu i ćirilicu kao pismo. I u školama učiš i jedno i drugo. Sad, to što nisi išao u školu pa ne znaš, ipak je tvoj problem.|@positiveaffirmations4437|2025-07-23T10:20:03Z|1|UgwrK2IWaMWgQ2RguWp4AaABAg
Ugz6xeKrfO8BqstOGEB4AaABAg|youtube|https://www.youtube.com/watch?v=PDu79pMVRmw|Ukinuti RTS pod hitno!  A zatim Pink i Happy i sve ostale trovačnice|@porukasaposvetom8904|2025-06-06T12:38:20Z|0|
UgxnCkvmLjNoeto5ApV4AaABAg|youtube|https://www.youtube.com/watch?v=PDu79pMVRmw|Sve smo im mi to dozvolili !!!|@vesnajolic8080|2025-05-26T00:03:06Z|0|
