id|source|url|text|author|created_at|is_reply|parent_id
UgxUJPjfxsD7jB_BnkR4AaABAg|youtube|https://www.youtube.com/watch?v=QnRXZEgaHWs|SAMO LAJ STRVINO, ŠATRA JE ZA TEBE, PROĆI ĆE, PA ĆETE ODGOVARATI, VOKABULAR TE OTKRIVA DA SI NEOTESAN, SMRADE KOMPLEKSI TE RAZBIŠE!!!!!!|@PredragTomic-cv2no|2025-07-25T00:14:18Z|0|
UgyaAcaSlVeI00qDLBN4AaABAg|youtube|https://www.youtube.com/watch?v=QnRXZEgaHWs|N1dh i Novu pavelicevu gledaju samo U stse!|@CETNICI_SEVER_1989|2025-07-23T00:34:02Z|0|
UgyN7-_o2zpECqvZS_p4AaABAg|youtube|https://www.youtube.com/watch?v=QnRXZEgaHWs|Koga bre ti plaćaš mentolu?|@milanmiletic1182|2025-07-08T10:51:34Z|0|
UgwIhMB3H3USjcUwW9R4AaABAg|youtube|https://www.youtube.com/watch?v=QnRXZEgaHWs|Blokaderi su ponosni ljudi a sta si Ti??? Majmune|@mugdimomer7891|2025-07-04T08:10:15Z|0|
UgzvVuAO7kZ0x5gbgt14AaABAg|youtube|https://www.youtube.com/watch?v=QnRXZEgaHWs|Necemo mi vise racune,pa dok Oskara ne isisas bices tu gdje jesi. A njegov izvor nije vecna vatra|@magicamundi8721|2025-07-02T03:21:54Z|0|
UgwvDdSkT-TT6KBdnkp4AaABAg|youtube|https://www.youtube.com/watch?v=QnRXZEgaHWs|То смета а ћаћиленд не...|@Djolee-r3j|2025-06-26T09:14:17Z|0|
UgwEmeSgmmcJDrJ0_vN4AaABAg|youtube|https://www.youtube.com/watch?v=QnRXZEgaHWs|I ja se prijavljujem da jašem ovu bitangu i spodobu iz Šarenika Vučićevića!|@milossrbijanac9258|2025-06-21T18:24:07Z|0|
Ugx_n5FwSn3sgV-kuLV4AaABAg|youtube|https://www.youtube.com/watch?v=QnRXZEgaHWs|Bitno da si ti uzeo pare konju Dragane|@pajacutura1810|2025-06-18T08:55:48Z|0|
UgwzDoZ9xlV2A2ls6Vx4AaABAg|youtube|https://www.youtube.com/watch?v=QnRXZEgaHWs|Na Floridi u Americi, demokratskoj zemlji, ko blokira cestu vozac ne odgovara ako nastavi voziti preko blokadera jer oni ne pripadaju saobracajnici. Zasto mi glumimo vece katolike od Pape?|@RusijadoTokija-oc9nz|2025-06-15T07:55:33Z|0|
UgwzDoZ9xlV2A2ls6Vx4AaABAg.AJNzsX5ijZCAJQnpcCTZ4s|youtube|https://www.youtube.com/watch?v=QnRXZEgaHWs|Je,je..Isto tako na primer 5 godina zatvora dobije neki kao onaj bivsi vozac 95. iz Opova,a sada clan SNSa koji je u prolazu udario onu studentkinju koja je snimala telefonom ispred njihovog staba.Ona cetvorica sto su bejzbol palicama razbili studentkinji vilicu bi u Americi dobili 40 godina bez prava na zalbu za pokusaj ubistva,40 godina onaj sto je udario studentkinju u Ruzveltovoj,isto pokusaj ubistva,ona sto je nosila na haubi studentkinju isto pokusaj ubistva 40 godina..I sve na studentkinje jbt.Ne bi Milos Pavlovic imao boravisnu prijavu u parku..itd itd..Ali nije ti ovo Amerika.|@aleksandragavrilovic5087|2025-06-16T10:08:01Z|1|UgwzDoZ9xlV2A2ls6Vx4AaABAg
