id|source|url|text|author|created_at|is_reply|parent_id
UgzR_P2A1cBtnFJZKcl4AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|Znamo odavno da Djilas nije opozicija!!|@zana5871|2025-08-17T16:18:30Z|0|
UgwJ-zyulowUWvP-h0h4AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|Ti si voditeljka za Elitu|@gordanmijatovic5655|2025-08-17T13:33:24Z|0|
Ugz2A4azXy1g2B8tOkN4AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|Dobra riba...ko se njom omastio mislim da mu je bilo plao dobro|@ivanvincetic1016|2025-08-17T06:13:54Z|0|
UgwD8VMDWtHgUWhaErt4AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|Ovima u Kuriru svaka riječ - laž. Kako im se bar ponekad ne omakne istina, onako slučajno, ako baš nemaju nikakve druge namjere osim da lažu.|@svjetlanamati7407|2025-08-17T02:01:34Z|0|
UgyE9_MViTaCsExh52V4AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|Djilas bi da bude predsednik? HA HA HA.|@mara6492|2025-08-16T22:08:56Z|0|
Ugx425OWF10gNu4FYBV4AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|Eto vam istine. Slušaj narode. Vlast bi banda.|@sretenradosavcevic7514|2025-08-16T21:59:06Z|0|
Ugx425OWF10gNu4FYBV4AaABAg.ALu8h55kQRhALuAKxePMgh|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|Dosta nam je bande.|@mara6492|2025-08-16T22:13:25Z|1|Ugx425OWF10gNu4FYBV4AaABAg
Ugyoa-Fq-U-PviZ8PiV4AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|nemojte, da stanete Vučić je jedan od ubica Zorana Đinđića i on je taj koji je Srbiju povukao u kanđe Rusije i ukrao bodučnost vašoj deci.........ako sada stanete za Srbiju nema bodučnosti.......|@ROBERTPANGERL-q4b|2025-08-14T18:38:24Z|0|
Ugx3fGwa-hGCn3nNOvN4AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|Đilas će da ga Duva|@nedeljkosavic6606|2025-08-14T14:18:10Z|0|
UgwY_ObFMFU_au1sgvF4AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|To je vaša pusta želja|@draganpetrovic2113|2025-08-14T14:14:31Z|0|
UgzP89HqeJaxBmHQ8WJ4AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|A vi lažete!|@sinisa-000|2025-08-14T13:32:44Z|0|
Ugz1I0YJ5chz28Zu9J54AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|E vala sam vam poverovao ko da sam čuo djv ili zvalu 😂😂😂|@DejanNičić-n1n|2025-08-14T11:00:09Z|0|
UgySouMPUC0ybtrPBf94AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|Siptari iz opozicije|@milosvojinovic7062|2025-08-14T10:15:45Z|0|
UgyUb0AOGBAIuzkTtdl4AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|Kurcir😮|@BergerBerger-fb7ps|2025-08-14T07:06:57Z|0|
UgwB1B7CTibPjj3ZYi54AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|✊✊✊📝📜📝📜📢📢📢|@ИванСтевановић|2025-08-14T05:58:11Z|0|
UgwWBYEFNRX27yut7rJ4AaABAg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|Čista laž|@draganzubovic2745|2025-08-13T21:10:09Z|0|
UgwWBYEFNRX27yut7rJ4AaABAg.ALmKi-dPMerALnb1HSDOyg|youtube|https://www.youtube.com/watch?v=Y8E7e3NEcoc|Ne laži!|@leticamladenovic9518|2025-08-14T09:00:43Z|1|UgwWBYEFNRX27yut7rJ4AaABAg
