id|source|url|text|author|created_at|is_reply|parent_id
UgynKtQlloGpwOgmvU94AaABAg|youtube|https://www.youtube.com/watch?v=ZGXAiX8CRR8|ВУЧЕВИЋ У КРАЉУ САМО НАПРЕД|@Baja99-d8b|2025-07-20T20:42:04Z|0|
Ugx-ZNS7dgl6Tl6BW0N4AaABAg|youtube|https://www.youtube.com/watch?v=ZGXAiX8CRR8|BRAVO. UPRAVO TAKO. SVI SNIMCI OD PRVOG DANA NASILNIH BLOKADA MORAJU BITI LAGEROVANI. SVI AMA BAS SVI MORAJU ODGOVARATI ZA SVOJA NEDJELA KOJA SU POCINILI.|@milenedimovic8617|2025-07-05T19:34:59Z|0|
Ugx5ZTTG2glpag3iyql4AaABAg|youtube|https://www.youtube.com/watch?v=ZGXAiX8CRR8|"""nece faliti dlaka s'glave ni jednom studentu u Pionirskom Parku  "" pa zar ima studenata u cacilendu ???"|@sasamihajlovic3456|2025-06-29T11:25:07Z|0|
UgxBee8qu6gwlHcf3SB4AaABAg|youtube|https://www.youtube.com/watch?v=ZGXAiX8CRR8|Popušiše ga BLOKADERI, OPET!!! Policija počela da radi svoj posao! 😂😂😂|@sretenmarkovic9357|2025-06-28T22:46:10Z|0|
Ugyy-151HKr8CgI4gKF4AaABAg|youtube|https://www.youtube.com/watch?v=ZGXAiX8CRR8|Kakav prostacki glas !!! Boze, ima li te ????|@yugoslava6409|2025-06-28T21:05:50Z|0|
UgzEcB0iC10ff_tQIXR4AaABAg|youtube|https://www.youtube.com/watch?v=ZGXAiX8CRR8|VUCICEV ZIDOVSKI VIDOVDAN SU STUDENTI DAVNO OSJETILI NA SVOJIM ZIVOTIMA|@MirzaRamic-c3s|2025-06-28T21:01:07Z|0|
UgzEcB0iC10ff_tQIXR4AaABAg.AJvs6YwWA3cAJxOCl6jj0i|youtube|https://www.youtube.com/watch?v=ZGXAiX8CRR8|Jel tebi bolje u Federaciji Mirza nego ovim studentima|@Nena_Bosnic37261|2025-06-29T11:09:34Z|1|UgzEcB0iC10ff_tQIXR4AaABAg
UgxKjWAF30IEPh87OUN4AaABAg|youtube|https://www.youtube.com/watch?v=ZGXAiX8CRR8|Koja gluma. Odjebite više|@alexandarg37|2025-06-28T17:13:02Z|0|
Ugzxq3bu5INXc-p1qPN4AaABAg|youtube|https://www.youtube.com/watch?v=ZGXAiX8CRR8|Šta on zna u pionirskom parku nema studenata a gde vsm je gosn vesić i ostali lupeži oko stanice u N Sadu pokrali pare fušarili izgradnju ljudi izginuli zato je krenuo bunt|@stevansindjelic1804|2025-06-28T09:48:33Z|0|
UgzytGrJvpjzaksPPtZ4AaABAg|youtube|https://www.youtube.com/watch?v=ZGXAiX8CRR8|Odgovornost svih,prema svemu što je sveto,a to je Mir i Sloboda...|@nadadjordjevic925|2025-06-27T17:39:47Z|0|
UgwRGViQEiNfcKlpu014AaABAg|youtube|https://www.youtube.com/watch?v=ZGXAiX8CRR8|J e d i  Ono sto se ne jede, bitango!|@giordanabruna4825|2025-06-27T15:32:25Z|0|
UgwCEmYaF16Tnfbm4ht4AaABAg|youtube|https://www.youtube.com/watch?v=ZGXAiX8CRR8|Po kom zakonu ce odgovarati?Ovde nema zakona.Da ima,prvo  bi vi odvovarali za nadstresnicu i jos puno toga!!!|@MirjanaNikolic-xq9ub|2025-06-27T10:47:49Z|0|
Ugx_IsQ8sA_k1McB1Ph4AaABAg|youtube|https://www.youtube.com/watch?v=ZGXAiX8CRR8|Zar ovaj nije dao ostavku?????????|@MirjanaNikolic-xq9ub|2025-06-27T10:43:25Z|0|
