id|source|url|text|author|created_at|is_reply|parent_id
UgzJMFfNzg3hMWKr5TR4AaABAg|youtube|https://www.youtube.com/watch?v=ZWOPQxws7CI|Živela Srbija,PC.🎉❤|@Cirih3|2026-08-05T21:03:15Z|0|
Ugwcy9jEe9IWOWlN_M94AaABAg|youtube|https://www.youtube.com/watch?v=ZWOPQxws7CI|"Treba da pobedi   ,,da  iduca vlada i ministri  budu Jpvana Jeremic,Krostijan Golubovic,Karleuša  i Želja Mitrovic
Uostalom oni su  pravi prestavnici  Vuciceve Srbije
KAKAV NAROD TAKVA VLAST😢"|@Geronimoo6|2026-08-04T17:42:24Z|0|
UgxmTS5ql4xC27VkQUd4AaABAg|youtube|https://www.youtube.com/watch?v=ZWOPQxws7CI|Пресједниче не разговарајте са сраним плаћеницима, и оним кои желе Србију слабу.|@Комови|2026-08-03T16:32:17Z|0|
UgzvsUjugLTdVPBoAmh4AaABAg|youtube|https://www.youtube.com/watch?v=ZWOPQxws7CI|Ja ne glasam-imam ustavno pravo i povelju da nemam poverenje ni u kog politicara na svetu! Jer vlast kvari ljude!|@trancemaniac1983|2026-08-03T04:37:22Z|0|
UgzvsUjugLTdVPBoAmh4AaABAg.A_1eICHypxZA_1fbKSf39-|youtube|https://www.youtube.com/watch?v=ZWOPQxws7CI|Za prosli petak Orlic BIA mi javio da smo izvukli 720 miliona tona sintetickih dijamanata! ADMIRAL BIA ! https://www.youtube.com/watch?v=cQ2Apy8zclE, mrdaj dupe! KINESKA TEHNOLOGIJA! OBRADOM INDUSTRIJSKOG LASERA LASEROM SE SECE DIJAMANT 96 I VISE KARATA I SVAKI VREDI 80 000 080.081 DINARA! A DANAS SE PODIZE BRANA SA Reke PEK ZA ZLATO! Uzmi ili ostavi u ime drzave Srbije, a ja odoh u predsednicku penziju SRBIJE! ZA sva PITANJA ROTHSHIELD HASKI SUDIJA DIVAC N. MILAN!|@trancemaniac1983|2026-08-03T04:48:51Z|1|UgzvsUjugLTdVPBoAmh4AaABAg
UgzvsUjugLTdVPBoAmh4AaABAg.A_1eICHypxZA_1nFTE-Deg|youtube|https://www.youtube.com/watch?v=ZWOPQxws7CI|https://www.youtube.com/watch?v=pTInFvPne8I , dokazi! I RESAVAJ NUKLEARNE ELEKTANE IS KINE ILI RUSIJE! ZBOG STABILNOSTI ELEKTROPRIVREDE! SRBIJE!|@trancemaniac1983|2026-08-03T05:55:38Z|1|UgzvsUjugLTdVPBoAmh4AaABAg
UgzvsUjugLTdVPBoAmh4AaABAg.A_1eICHypxZA_2UerJWFgy|youtube|https://www.youtube.com/watch?v=ZWOPQxws7CI|Sada mi je Orlic saopstio 9 tona zlata sa reke Zlatni Pek! ADMIRAL BIA DIVAC N. MILAN! E SADA SAMO 1 DINAR= 1 Rublja = 1 drahma! A DRUGE VALUTE VRATI RECIMO DOLARE U MENJACNICI ZA DINAR! IZA SVEGA STOJI ORLIC PA NJEMU KENJAJ!  NEGO SRBIJO DA IGRAMO UT 2004 DECK 17 LAST MAN STANDING! TI GUBIS RAZUM! MOJ POSAO JE BANKARSTVO MEDJUNARODNO (MEDJUNARODNO POSLOVANJE) I OLIMPIJSKE IGRE! E -GAMES! HVATAJ SERONJO GIGABYTE AERO X 16! I TAJ HOCU I JA!|@trancemaniac1983|2026-08-03T12:23:43Z|1|UgzvsUjugLTdVPBoAmh4AaABAg
UgzvsUjugLTdVPBoAmh4AaABAg.A_1eICHypxZA_2bi6M_VVe|youtube|https://www.youtube.com/watch?v=ZWOPQxws7CI|"Конверзација у AI режиму: Artificial diamondsArtificial diamondsVeštački dijamanti (poznati i kao laboratorijski, uzgojeni ili sintetički dijamanti) jesu pravi dijamanti koji imaju identična hemijska, fizička i optička svojstva kao i prirodni dijamanti iskopani iz zemlje. Glavna razlika je u tome što se ne stvaraju milionima godina u prirodi, već u kontrolisanim laboratorijskim uslovima za svega nekoliko nedelja.Sastavljeni su od čistog ugljenika raspoređenog u kristalnu rešetku, pa ih čak ni profesionalni draguljari ne mogu razlikovati od prirodnih bez posebne, napredne laboratorijske opreme.Kako se prave veštački dijamanti?Proizvodnja se primarno odvija kroz dve tehnološke metode:HPHT (High Pressure High Temperature): Ova metoda kopira prirodne uslove. Mali ""seme"" dijamant se izlaže ekstremnom pritisku (preko 1.5 miliona psi) i temperaturama višim od 1500°C kako bi ugljenik kristalizovao oko semena.CVD (Chemical Vapor Deposition): Ova metoda koristi gas bogat ugljenikom (poput metana) u vakuumskoj komori. Gas se ionizuje pomoću mikrotalasa, što uzrokuje da se ugljenik sloj po sloj taloži na dijamantsku pločicu i formira kristal.Prednosti laboratorijskih dijamanataEkološka održivost: Laboratorijska proizvodnja troši znatno manje resursa i eliminiše masivno prekopavanje zemlje koje prati tradicionalno rudarstvo.Etičko poreklo: Potpuno su isključeni rizici od finansiranja konflikata, zbog čega se često nazivaju ""dijamanti bez krvi"".Ekonomičnost: Zbog efikasnijeg lanca snabdevanja, veštački dijamanti koštaju znatno manje od prirodnih istog kvaliteta, čineći ih dostupnijim za vereničko prstenje i nakit.Razlika između veštačkog dijamanta i imitacijaVažno je razlikovati laboratorijski uzgojene dijamante od običnih imitacija:Cirkon (Cubic Zirconia) i Mojsanit (Moissanite) nisu dijamanti. Oni samo vizuelno podsećaju na njih, ali imaju potpuno drugačiji hemijski sastav, manju tvrdoću i drugačiji prelom svetlosti.Veštački dijamant ima tvrdoću 10 na Mosovoj skali, identičan sjaj i trajnost kao i prirodni kamen.Ako planirate kupovinu nakita, laboratorijski dijamanti takođe dolaze sa međunarodnim sertifikatima (poput GIA ili IGI) koji potvrđuju njihovu čistoću, boju, rez i karatažu.Ukoliko vas zanimaju konkretni detalji o kupovini, recite mi:Tražite li dijamant za verenički prsten ili neki drugi komad nakita?Da li vas zanima kako se kreću karataže i oblici (okrugli, princeza, smaragdni rez)?Želite li da uporedimo cenu i isplativost u odnosu na prirodne dijamante?Вештачка интелигенција може да погреши, па проверите одговоре"|@trancemaniac1983|2026-08-03T13:34:04Z|1|UgzvsUjugLTdVPBoAmh4AaABAg
UgzvsUjugLTdVPBoAmh4AaABAg.A_1eICHypxZA_2bsj-AQpN|youtube|https://www.youtube.com/watch?v=ZWOPQxws7CI|Moj doktoratski diplomski rad Srbije! IZVOLI MMF/IMF! SANU! I ODOH U PREDSEDNICKU PENZIJU SRBIJE!|@trancemaniac1983|2026-08-03T13:35:31Z|1|UgzvsUjugLTdVPBoAmh4AaABAg
Ugx-bvG5dUdyM9i7Yth4AaABAg|youtube|https://www.youtube.com/watch?v=ZWOPQxws7CI|Kolko puta si pokrao tako vladaš isto ćeš i dalje|@risradior-k8208|2026-08-02T20:59:15Z|0|
