id|source|url|text|author|created_at|is_reply|parent_id
Ugx6F5RjsmzFOdKnLNh4AaABAg|youtube|https://www.youtube.com/watch?v=_aTeCJJH4No|Nesto nije veseo 😂😂|@lion-vc7jyzrzcycnkfdrzhycxdf|2026-04-14T05:41:25Z|0|
UgxAjeunOHFyKlXgMzV4AaABAg|youtube|https://www.youtube.com/watch?v=_aTeCJJH4No|Koji predsednik to je kradopredsednik!|@pajacutura1810|2026-04-07T13:14:00Z|0|
UgwL8WOV6RH4ZOo3Buh4AaABAg|youtube|https://www.youtube.com/watch?v=_aTeCJJH4No|Ološi samo da se preusmere na doživotno rudarwnje bez izlaska na svetlost dana|@nebojsajovanovic5350|2026-04-05T20:53:48Z|0|
Ugztc6ZLpwM7AdxJurF4AaABAg|youtube|https://www.youtube.com/watch?v=_aTeCJJH4No|Za 14 godina si napravio 2 skole u Bgu,nijedan most,a obecao ih 6...Onaj zuti Djilas za 5 godina mandata napravio 2 mosta ,8 skola otvorio samo za 3 godine,vrtice da i ne pominjemo,ambulante,biblioteke..ti biblioteke pogasio😁.|@aleksandragavrilovic5087|2026-04-05T20:35:18Z|0|
Ugw6DpkXcVbKwOgL8bJ4AaABAg|youtube|https://www.youtube.com/watch?v=_aTeCJJH4No|😂 ološi|@goranlekic3407|2026-04-05T17:01:34Z|0|
Ugzzqkc_1dA20MIzpHZ4AaABAg|youtube|https://www.youtube.com/watch?v=_aTeCJJH4No|VELEIZDAJNIK, LOPOV, LAŽOV I UBICA.|@brkajlija812|2026-04-05T15:48:58Z|0|
UgwCLoRGjQEvq-i82eV4AaABAg|youtube|https://www.youtube.com/watch?v=_aTeCJJH4No|Znaš kad izađu u šetnju u zabeli. Sad vežbaju|@draganpetrovic2113|2026-04-05T15:30:24Z|0|
Ugx8BMbupRMo6-cL-E94AaABAg|youtube|https://www.youtube.com/watch?v=_aTeCJJH4No|Kad bude stadion izgrađen održavanje će koštati šezdeset miliona eura a isplativost stadiona se očekuje tek za petsto godina inače stadion nema perspektivu samoodrživosti|@panbanana70|2026-04-05T15:22:22Z|0|
UgyHLkYHfwoYhRakOkx4AaABAg|youtube|https://www.youtube.com/watch?v=_aTeCJJH4No|😂😂😂|@okooko9545|2026-04-05T15:15:59Z|0|
UgwF54eMS8vZYXQUqDx4AaABAg|youtube|https://www.youtube.com/watch?v=_aTeCJJH4No|Vozi sine 😂|@hamiltonproductions1459|2026-04-05T14:46:43Z|0|
