id|source|url|text|author|created_at|is_reply|parent_id
Ugz3jBB83yUh0I1pzrN4AaABAg|youtube|https://www.youtube.com/watch?v=_fYEig8Ym9c|Daj meni predsednice da radim a ako jedno slovo slazem stavi me u sve nivine i zatvori mi firmu i nemoj mi nista platiti|@slobodanpanic7034|2026-08-10T21:50:58Z|0|
Ugyjgjp69iDC6g8bD3h4AaABAg|youtube|https://www.youtube.com/watch?v=_fYEig8Ym9c|TI ZNAS SVE,GENIJE,E,JADNI SMO MI SA TOBOM|@AcoPuzigaca|2026-08-10T13:36:14Z|0|
UgzFaCCmHztwFlle7uR4AaABAg|youtube|https://www.youtube.com/watch?v=_fYEig8Ym9c|Ja mislio leteci most, a ono pjesački ...bas cudno|@branislavjokic8278|2026-08-10T10:46:19Z|0|
Ugw684c0RYIChxmATYV4AaABAg|youtube|https://www.youtube.com/watch?v=_fYEig8Ym9c|Nemoj brate, pokvarićeš nešto...ne diraj ko boga te molim|@zorantopalovic5150|2026-08-10T10:12:50Z|0|
UgzWZMZC54bLC3_PaEx4AaABAg|youtube|https://www.youtube.com/watch?v=_fYEig8Ym9c|"❤❤❤
Душа од човека, председник до 2050. Год. 
❤❤❤"|@aleksandaraksenrijević8822|2026-08-10T09:27:18Z|0|
UgxXHr6qpY1ZfQ4n3i54AaABAg|youtube|https://www.youtube.com/watch?v=_fYEig8Ym9c|😂🤣😩🤯🤡  Da se ja pitam preterao bi autobus preko mosta 🤓🥸|@yukeenkape2540|2026-08-10T09:24:07Z|0|
UgzSku7Nz82mNM_3KGd4AaABAg|youtube|https://www.youtube.com/watch?v=_fYEig8Ym9c|Vucic bozja kazna za Srpski narod|@SamHam-z9j|2026-08-10T09:01:28Z|0|
Ugyd_9o8OpLOR0_mLqt4AaABAg|youtube|https://www.youtube.com/watch?v=_fYEig8Ym9c|A Pančevački most? Njega tek kad padne😢|@MelinaBecanovic|2026-08-10T08:37:36Z|0|
UgwRew7vSamtWosq_np4AaABAg|youtube|https://www.youtube.com/watch?v=_fYEig8Ym9c|Jel ima neko strucan da prica o ovome nego ovaj lelemud?|@danijelkovacevic6961|2026-08-10T08:20:01Z|0|
UgyiRxDdx2Re_Q_lmhV4AaABAg|youtube|https://www.youtube.com/watch?v=_fYEig8Ym9c|Joj kad lazu majstori tebe to jest drzavu  kako je tek nama smrtnicima😅|@Mirymiry224|2026-08-10T07:54:05Z|0|
UgxOeWcjDBtExBl70Nx4AaABAg|youtube|https://www.youtube.com/watch?v=_fYEig8Ym9c|Bravo Predsednice.... Zauvek Vucic ❤|@gordanaflavell2772|2026-08-10T07:06:38Z|0|
