id|source|url|text|author|created_at|is_reply|parent_id
UgxPB570gJKNoA5tUxR4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Ludo odgovori samo sta si dogovorio za Kosovo i Metohiju???Znas li sta znaci suverinitet....ma u ludnicu sa tobom.|@sominamalanemala|2026-07-28T10:12:56Z|0|
UgwW-3zD7LHHgvjVnMp4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|"Do sada samo Aca Šiptar vodi protiv Srbije, naročito izdajom 18000 vojnika za hapšenje...
Penzosi zaglupljeni saučesnici veleizdajnika..."|@zoransproh5364|2026-07-28T04:44:25Z|0|
UgxVuqEREthTQpFlYDl4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Diktator nema dialog.|@momirstanisic7274|2026-07-27T08:30:35Z|0|
UgzGK3mTK6Vzf7QTBsJ4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Šta ima tu da se razgovara, prekršio si ceo Ustav!!!|@ОРЕШНИК-в2я|2026-07-25T08:07:29Z|0|
Ugx-eaJdhYPGnN18nMF4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|"Bolje bi pitanje bilo ""gde nisam prekršio zakon"" kraći bi bio odgovor bahati stvore jer nema gde nisi."|@verapandurov980|2026-07-24T15:04:00Z|0|
UgyRhK-YtRRfBGFanCV4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|"Само отуђење кодова је кршење устава и закона. Предаја све установе, позивни број ,судство и све Кинезима дато . Не осудити усташки геноцид у Јасеновцу је кршење устава. И још самовоље . Са Арапима и Кинези
Ма."|@jovicamarjanovic2530|2026-07-23T13:02:06Z|0|
Ugxte9flOQk28jEfiPd4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|A GDE NISI|@SasaSimic-g9e8z|2026-07-21T13:29:14Z|0|
Ugz_ZOPhRnz07YAZ7hN4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|PRISTOJAN?BOZE CEMU ZVUCNI TOP ? LAZI LAZI I SAMO LAZI|@VesnaM-mw7bh|2026-07-21T09:14:41Z|0|
UgxFo7rw8FifYwrvb-N4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Ovo su priče za njegove Glasače , Oni nasedaju nx njegovu Šojić ulogu|@dragandjokic9693|2026-07-20T19:16:38Z|0|
UgzxcAqVgugD5gpaRYt4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|TVOJE JE SAMO ONO ŠTO TI RODITELJI OSTAVE U NASLEDSTVO.SRBIJU NISI DOBIO DA BI RADIO ŠTA TI SE HOĆE I KAD TI SE HOĆE.NI JEDAN PREDSEDNIK SE NIJE PONAŠAO KRŠEĆI USTAV GDE STIGNE I KAD STIGNE.JOŠ SI TI PRAVNIK PA BI TREBALO DA ZNAŠ ZA PODELU VLASTI.TI O SVEMU ODLUČUJEŠ I ŠTA OD NARODA OČEKUJEŠ.SVI UGOVORI SU TAJNA ..O SVEMU TI ODLUČUJEŠ I JOŠ NAM POPUJEŠ.ZNA SE KOJA SU OVLAŠĆENJA PREDSEDNIKA.I NIKOLIĆ SE DRŽAO USTAVA NIJE UZURPIRO SVEPOLUGE VLASTI..SAMO ONE KOJE SU NJEGOVE OVLASTI.PREMA TOME TO JE NEŠTO O TVOME I PO TVOME.|@miroslavvasiljevic1824|2026-07-20T17:25:47Z|0|
UgzW74AjzFM3FruQyrZ4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|300 miliona stadion u americi sagradili za prvenstvo u fudbalu koji prima 80.000 gledalaca!Zašto će naš koštati milijardu?I ko se sve tu još nije ugradio?|@Gorora-tz4ir|2026-07-20T15:21:44Z|0|
UgwK0yxDboA8h8UozIl4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|PRED izbore SE obecava daje  jezikom I lize I NAJ veca prljavstina '  PRICAJU lazni uspesi (uspehe AKO ih ima JE postigao NAROD NE politicari, lopovi I KRIMINALCI ) o borbi protiv KRIMINALA I lopovluka , o SVOJOJ dobroti it'd. pa I atentatima KOJE prezivese it'd. it'd . BUDU MEKANI KAO ZECJI REPIC ' POSLE IZBORA NAROD BUDE NERADNIK , USTASA , LUD I GLUP I TO JAVNE OSUDE , NISTA POLITICARIMA NE VEROVATI VEC IH ZA NJIHOVI (PRLJAVI I BEZAKONI RAD NAJ STROZE KAZNITI) , IMA OVDE U OVOM NARODU U ZEMLJI SRBIJI MNOGO PAMETNIH I POSTENIJIH OD OVE BAGRE I FUKARA KOJI NAS POSLEDNJIH DECENIJA I PLJACKASE I POBISE ' SVE POD ZAKON I TUZIOCA I SUDIJU AKO NIJE RADIO ZA NAROD I DRZAVU......|@MiroslavBanić-o1i|2026-07-20T12:53:42Z|0|
UgyWOyc4C1dVTGqGPJZ4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|DA PRICAS SA NACISTIMA I USTASAMA..PA VALJDA USTAVNI SUD I PRAVOSUDJE TREBA DA TE GONE I PROCESUIRJU..ZNAO SAM DA SI BUDALETINA ALI NE DA SI TOKIKA.SMRADU VELEIZDAJNICKI|@draganristic7315|2026-07-20T10:40:00Z|0|
Ugz9NHfwyXzldaKnpHN4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Устав кршиш од кад си зајахао преЦедничку фотељу. Сад је за разговор касно. Ти не знаш да пристојно разговараш. Ти само држиш монолог. О пристојности да не причамо.|@Љиљана51|2026-07-16T09:44:29Z|0|
Ugzz-qNLhk15hfnJtXF4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|"Nema tu rasprave. Relativizujes?!

Ono što sam sada proverio je u domenu naučne fantastike, ali sam sumnjao da ljudi iz vrha vlasti to rade već dugo. Naime, kada neka kompanija dođe ili investira u Srbiju, bilo da je namamljena pogodnostima koje nudi predsednik Srbije, onda u odboru te kompanije u Srbiji, drzavna uprava trazi da se postavi jednog od srpskih političara, koji traži navodnu „sigurnost“, barem tehničko osoblje koje on bira. Zato se u APR-u registruju „Duh kompanije“, tj. kompanije koje nikada nisu radile, ali zato u osnivačkim dokumentima postoji spisak navodno zaposlenih ljudi. Prisustvovao sam razgovoru između računovođe i tehničkog radnika koji je ""premešten"". Menadžer pita za ime kompanije i koliko je primio; I, onaj koji nije došao sam, već je doveo gomilu svojih prijatelja, zna ime te fiktivno  kompanije u APR-u, ali ne pominje koja ga je preporučio (tj. ne može da se potrudi da kaže), ali još gore, nije znao kolika mu je plata, jer je nikada nije dobio. Dakle, mora da bude maštovit. Jedno je sugurno:  Zato nisam uspeo ni da se zaposlim kao  „babasera“; Alo on će dobiće 75 hiljada za posao koji nije radio i niti će raditi."|@nikolagrigorov3210|2026-07-15T17:49:54Z|0|
UgwfswUQBj2yx6w_QEd4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Ti bre cim pocne radni dan PREKRSIS USTAV|@draganceh2271|2026-07-15T16:35:51Z|0|
Ugy4CvZRhvzsPGgtMXt4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Nista nisi od toga!😢😢😢😢😢😢😢😢😢sto pricas|@ZivojinLukic|2026-07-15T10:01:48Z|0|
UgzO6tDm-hYmN0P4mdF4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Pa šta je sad? Rekao si prijavite deca prijavila ispoštuj proceduru!😢|@DuskoDjurdjevic-z6m|2026-07-15T08:26:20Z|0|
Ugx_Rr-lpC7q_jgBU614AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|A GDE NISI !!!!|@miroslavvasiljevic1824|2026-07-15T02:48:22Z|0|
UgyCaB3f6k47ICSr7OJ4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Кршиш га сваки дан!|@mirkostupar5036|2026-07-14T18:27:35Z|0|
UgyaqZGowG0kzdRxg4B4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Čovek je lud 🤪|@BoskoJovanovic-z9w|2026-07-14T18:25:18Z|0|
UgyaqZGowG0kzdRxg4B4AaABAg.AZFd8gj7dXCAZJoBmv6Fs9|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|ni struja nije toliko luda...|@aZoRandaWap|2026-07-16T09:18:48Z|1|UgyaqZGowG0kzdRxg4B4AaABAg
UgyaqZGowG0kzdRxg4B4AaABAg.AZFd8gj7dXCAZJqrDqS5DE|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|​@aZoRandaWap😂|@BoskoJovanovic-z9w|2026-07-16T09:42:04Z|1|UgyaqZGowG0kzdRxg4B4AaABAg
UgyaqZGowG0kzdRxg4B4AaABAg.AZFd8gj7dXCAZW56qK1-5Q|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Slažem se, pored silnog pokradenog novca ne konta cijenu običnog snajperskog zrna i majstora za kundakom...nije Slina služila vojsku....lijep pozdrav.|@sladjankovacevic8646|2026-07-21T03:46:19Z|1|UgyaqZGowG0kzdRxg4B4AaABAg
UgyTQNInn6BbSz8oj1B4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|A gde nisi??????|@bojanfilipovic2566|2026-07-14T17:26:27Z|0|
Ugw1xKkPDnozwlJOJ9p4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Ljubazan   i pristojan  način???|@ZoricaDanicic|2026-07-14T15:50:56Z|0|
UgzoalUdCtpogdyPQjB4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|🫣🫣🫣 glupostima nikad kraja|@ZoranDragic-z3j|2026-07-14T15:34:46Z|0|
UgxyRF6KoLVHjCvGv8F4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Ti prvo i prvo niti si LJUBAZAN NITI PRISTOJAN !!!!!😮😮😮|@eminemirovski2710|2026-07-14T14:38:43Z|0|
Ugw3JauaGZrW5Rs0xJd4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Slagao si da nije rekonstruisana nadstrešnica,slagao si da nemamo zvučni top,slagao si da nećeš da se kandiduješ za predsednika.....|@sendvicmeizdima7856|2026-07-14T13:53:47Z|0|
UgwNfDpUBMaZuTTq7h14AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Прекршио си Устав ,члан 115 .јер си годинама био и председник државе и партије.Па то себи није дозволио ни гробар са купљеном дишломом.И ту нема расправе,само примена закона.|@dankaradovic5986|2026-07-14T13:04:45Z|0|
UgwIbL-RSk8ILHHF7aF4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Sa odg.kaže hahahaha on postao upravo sudija i kadija|@Redbulll-1-j4t|2026-07-14T12:43:15Z|0|
UgxxePcmmp4_ZtgJIfh4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|POGLEDAJ TU GLAVUZU ZVALJAVU|@draganristic7315|2026-07-14T10:44:56Z|0|
Ugw4rxzCXJdHdQHsYrx4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Mnogo duhovit na babu Vljosu Musliu....|@ZoranBojovic-ku4ns|2026-07-14T10:34:43Z|0|
UgxbdZ9Mrdpkxdki3tR4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Otvori portal na kojem nikog konkretnog ne mozete prijaviti hahahaha boze budale 🙄 i jos se reklamira, pa mislim imaju li ovi i JEDNU korisnu investiciju?! Expo ne vredi spominjati...  🫣|@AlexAndric|2026-07-14T10:26:59Z|0|
UgxbdZ9Mrdpkxdki3tR4AaABAg.AZEmPQqnSVmAZF-4Motv1W|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Sa ovim portalom se otvara opcija da mogu da zaustave svakog na ulici i da maltretiraju bilo koga, pod izgovorom da ga je neko prijavio za bahatost...Tako se moze svetiti protivnicima..|@ivankouc|2026-07-14T12:26:27Z|1|UgxbdZ9Mrdpkxdki3tR4AaABAg
UgwZdM8qr2Ik9CSKoF94AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|SVAKI DAN KRŠIŠ USTAV, KO SI TI DA SE ZA SVE PITAŠ.?|@PredragĐokić-g3l|2026-07-14T10:20:13Z|0|
UgwZdM8qr2Ik9CSKoF94AaABAg.AZElcqmj8qEAZG-Bo69q3x|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|Кад се дигне из кревета он прекрши Устав|@misasavic5073|2026-07-14T21:46:42Z|1|UgwZdM8qr2Ik9CSKoF94AaABAg
UgwZdM8qr2Ik9CSKoF94AaABAg.AZElcqmj8qEAZJoFqvRBV4|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|@misasavic5073 dok dodje do KLonjare, 3 zakona prekrši..|@aZoRandaWap|2026-07-16T09:19:21Z|1|UgwZdM8qr2Ik9CSKoF94AaABAg
UgyUzyAX85LI4ZyEbPh4AaABAg|youtube|https://www.youtube.com/watch?v=eHeGVDRfQCo|ma cim uneses zvalvo ime ne moze izbacuje gresku hahahahaha|@virtuoz_virti|2026-07-14T09:19:45Z|0|
