id|source|url|text|author|created_at|is_reply|parent_id
UgylRnBzjD9Zk-1Imhp4AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|PROTERATI PAVLA GRBOVIĆA IZ SRBIJE HITNO HITNO, HITNO, HITNO, HITNO, HITNO, HITNO,!!!!!!!|@jovicastakic7411|2025-07-13T15:14:20Z|0|
UgxmdX8MCa4J8PCKbKh4AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|VUČIĆU KRALJU NAJBOLJI SI PRESEDNIK U ISTORIJI SRBIJE!! 🇷🇸🇷🇸🇷🇸🇷🇸🇷🇸💪💪💪|@jovicastakic7411|2025-07-13T15:13:40Z|0|
UgwChZ-MDh52LUDAuhF4AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|ŽIVEO VUČIĆ ŽIVELA SRBIJA ŽIVEO SNS!!!|@jovicastakic7411|2025-07-13T15:13:27Z|0|
UgypGq3jFXL8z94gOCR4AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|UHAPSITI SRĐU MILIVOJEVIĆA HITNO!!!|@jovicastakic7411|2025-07-13T15:13:18Z|0|
Ugzgs7XCBP5krCQIP6B4AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|UHAPSITI DRAGANA ĐILASA OLOŠA HITNO!!!|@jovicastakic7411|2025-07-13T15:13:10Z|0|
UgyEpO2QIg64cloDgiF4AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|UHAPSITI REKTALNOG ĐOKICU ŠTO PRE!!!|@jovicastakic7411|2025-07-13T15:12:58Z|0|
UgwHk_fne0vQm5eDLsd4AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|UHAPSITI DINKA GRUHONJIĆA HITNO!!|@jovicastakic7411|2025-07-13T15:12:44Z|0|
Ugz7OMIYy2uCSZwDb954AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|UHAPSITI JOVU BAKIĆA HITNO!!|@jovicastakic7411|2025-07-13T15:12:33Z|0|
UgwiFLWwYMEgSlEbYdF4AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|UHAPSITI MARINIKU TEPIĆ!!!|@jovicastakic7411|2025-07-13T15:12:24Z|0|
Ugw1nhlQa1RyR1pvgE14AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|PAVLE GRBOVIĆU MARŠ IZ SRBIJE!!|@jovicastakic7411|2025-07-13T15:12:16Z|0|
Ugx9NUTk7qOPoG_Gsn94AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|Cuo sam akcenat bosanski kad su hapsili decka na ulici ,rece bosanac ,,dodji ,vaaamo.Ljudi ovo treba da znate i da znate sta da se radi s bosancima .Ja rek,o a vi kako ,ocete .|@nikolazuzic-t8u|2025-07-02T19:26:53Z|0|
Ugx1OlQLDMPhGCKuZ8p4AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|Sve neki čudni studenti😅😅😅sa tetovažama kao da su deo kolumbijskog kartela|@branov.3283|2025-06-29T20:28:39Z|0|
Ugx1OlQLDMPhGCKuZ8p4AaABAg.AJyOBbeW9_rAJyTFPcYJBG|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|Sreća oni pravi u toru kod skupšine liče na prave studente😂😂😂|@Igor-f2c6i|2025-06-29T21:12:51Z|1|Ugx1OlQLDMPhGCKuZ8p4AaABAg
UgyP6svib5dqXU9YGzh4AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|Zivotinje hoce da im se pumpa familija al su ruzni kopilad|@sms.787|2025-06-29T18:46:14Z|0|
Ugz9p8TxYPl_2dIMON94AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|PUMPALI STE ĐŽABE SADA MOŽETE KURAC DA PUMPATE|@DamnjanPajic-s2n|2025-06-29T18:08:30Z|0|
Ugz9p8TxYPl_2dIMON94AaABAg.AJy89CkARrBAJyThFcDSTo|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|U breeeee....nemoj tako,uzmi jedan SMOKI ...lakše se diše😂😂😂😂|@Igor-f2c6i|2025-06-29T21:16:47Z|1|Ugz9p8TxYPl_2dIMON94AaABAg
UgxmlQ218HDXXbCLmiJ4AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|Pumpaj narode do kraja|@rajkamiskic7177|2025-06-29T12:16:47Z|0|
UgxWvpUeBpJ2uUuUlm54AaABAg|youtube|https://www.youtube.com/watch?v=kgvhjhlVHE4|Mozak vam je napumpan! Jadnici  . . .|@djurdjinajovanovic5885|2025-06-29T11:50:07Z|0|
