id|source|url|text|author|created_at|is_reply|parent_id
UgypUbnSiG3PmBiE42V4AaABAg|youtube|https://www.youtube.com/watch?v=oNt6i6qo3fI|Vucko samo da se olakšam pa ti nastavi😂.|@Breza452|2026-06-28T02:43:26Z|0|
UgwKm5jIDBzLorOsvlp4AaABAg|youtube|https://www.youtube.com/watch?v=oNt6i6qo3fI|Evo vi ste pustili da možemo i mi nešto da kažemo.Vama su komenteri  uvek isključeni i mi koji volimo Srbiju ne možemo  ništa da kažemo .Ja ću ovako ukratko reći živela naša Srbija ,naš najbolji predsednik Vučić .Najgora TV-E N1koja truje narod te blokadere ,jer to  studenski protesti nisu odavno.A ne sikirajte se vi koliko će nas doći bez da izgubimo posao..😂😂😂😂😂😂😂😂😂😂😂|@DragicaRadojkovic-oh9ek|2026-06-23T11:23:35Z|0|
UgyEFhJeqNmIeavHz-F4AaABAg|youtube|https://www.youtube.com/watch?v=oNt6i6qo3fI|Ovaj lik je spreman za terapiju ponašanja što nije imao kod mame .😢|@53silver|2026-03-28T17:12:56Z|0|
Ugw79dO4W5tS33cCIEF4AaABAg|youtube|https://www.youtube.com/watch?v=oNt6i6qo3fI|Šta šta gde gde u zemlji Dembeliji gde on živi i vlada sa maloumnica poslusarima|@svetlanailic2424|2026-03-26T05:00:06Z|0|
UgwqwXIIW9vID0_LHuF4AaABAg|youtube|https://www.youtube.com/watch?v=oNt6i6qo3fI|Mene je sramota što gledam a njega nije blam što u tome ucestvuje|@svetlanailic2424|2026-03-26T04:58:12Z|0|
Ugwl1YTgTqET3s9lbQd4AaABAg|youtube|https://www.youtube.com/watch?v=oNt6i6qo3fI|Bolest je teska|@DraskoIvanovic-q5v|2026-03-24T20:40:01Z|0|
Ugxymb5SGggVZaF5r8N4AaABAg|youtube|https://www.youtube.com/watch?v=oNt6i6qo3fI|Kakav Štakor,Kreten Žvaljo|@MiroslavMarusic-e5w|2026-03-24T18:22:08Z|0|
UgyEuC4ReSQnVgRE3jx4AaABAg|youtube|https://www.youtube.com/watch?v=oNt6i6qo3fI|Необавештен ко Коштуница.😂😂|@draganjovanovic831|2026-03-24T18:06:45Z|0|
Ugw_tk7wDVq5vSdm4zF4AaABAg|youtube|https://www.youtube.com/watch?v=oNt6i6qo3fI|Хахаха лаже чим зине! Од наших пара их довлачи јадне аутобусима и храни буђавим сендвичима. Робијаће хуља!|@i_stanisa_|2026-03-24T14:31:01Z|0|
Ugw7b3fXI6MKYqghlmt4AaABAg|youtube|https://www.youtube.com/watch?v=oNt6i6qo3fI|У праву је Председник, ја сам пензионер и нико ме није звао, не знам зашто ,имам 57 година, редован пензионер, вегетаријанац не волим сендвиче|@SranPredic|2026-03-23T12:33:49Z|0|
