id|source|url|text|author|created_at|is_reply|parent_id
UgzSDc8x4Wtuo4WYtbZ4AaABAg|youtube|https://www.youtube.com/watch?v=uLl6lxEjghw|Uzasne Slike upucuju na zakljucak da su ovo nepomirljivi drustveni sukobi a njihova zaostrenost samo se uvecava do užarenosti!?|@milosevicljubinamilosevic|2026-01-25T04:28:49Z|0|
UgyXjmvzml5j-YvOANl4AaABAg|youtube|https://www.youtube.com/watch?v=uLl6lxEjghw|Demoni se igraju|@ruzastojanovic7231|2025-07-01T11:39:48Z|0|
UgzBrHJNOxkLjLKgzDN4AaABAg|youtube|https://www.youtube.com/watch?v=uLl6lxEjghw|Jezivo je jedino sta ova vlada radi ovom narodu|@goran1986m|2025-06-30T22:30:29Z|0|
UgzBrHJNOxkLjLKgzDN4AaABAg.AK0Avo-MiDbALSSofM1g_e|youtube|https://www.youtube.com/watch?v=uLl6lxEjghw|I šta narod radi sam sebi umesto ovoj vlasti! Još jezivije!|@damjancakic9188|2025-08-05T18:36:55Z|1|UgzBrHJNOxkLjLKgzDN4AaABAg
UgyINrimEVewUypx71d4AaABAg|youtube|https://www.youtube.com/watch?v=uLl6lxEjghw|Milicijo, sramoto|@aleksandarz9225|2025-06-30T21:41:53Z|0|
UgxRLdsMbXXj-mSuIa14AaABAg|youtube|https://www.youtube.com/watch?v=uLl6lxEjghw|Sta je jezivo?|@docaavakumovic7482|2025-06-30T17:52:42Z|0|
UgzaYYO9FkshFd_mbXB4AaABAg|youtube|https://www.youtube.com/watch?v=uLl6lxEjghw|Ja stvarno nemam komentar za ove događaje 😮😮😮😢😢😢😮😮😮|@SuzanaMustafoska-fv9fo|2025-06-30T08:30:02Z|0|
UgzZYt3w17zC9Y8R9UB4AaABAg|youtube|https://www.youtube.com/watch?v=uLl6lxEjghw|Pogledajte proteste u Francuskoj i u Los Angelesu. Sta rade demonstranti.|@howhithefi2197|2025-06-29T20:35:18Z|0|
Ugyb1BAIL1fgQSiImlV4AaABAg|youtube|https://www.youtube.com/watch?v=uLl6lxEjghw|Jezivo je i samoubistvo...sami ste tražili ..planirali..izveli...,klin se klinom izbija.|@rankoradulovic8516|2025-06-29T17:57:58Z|0|
UgyxfKypOa3dH32sM7J4AaABAg|youtube|https://www.youtube.com/watch?v=uLl6lxEjghw|Je l' ovo 100 zbog njega jednog sujetnog i oholog 😳😲🫢😠😡🤬❓|@vladanpetrovic4948|2025-06-29T17:44:09Z|0|
