id|source|url|text|author|created_at|is_reply|parent_id
Ugz0J675L8uvsWhrBr54AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Udri policijo po pikljevima|@nebojsaivic4297|2025-04-20T14:05:01Z|0|
UgwkhmNYfQI5hvoynu94AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Ova gomna sto napadaju policiju traba da odi negde u neku drugu drzava da se ovako ponadaju pa bi videli kako bi prosli od policije sramota izdajice sve to treba poslati u ludnice|@lazar1950|2025-04-14T12:27:18Z|0|
UgxmjuZz71JYblKjSF14AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Hapsi 💩  i pravac ZABELA.|@MladanMaksic|2025-04-12T06:46:18Z|0|
UgwCjpo2k67uzVOduKd4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Sta stani,oicko.|@dejannikolic9236|2025-03-18T19:38:27Z|0|
Ugw48gkQ6HmXDoR4zw14AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|"Ovo su izgleda pripadnici ozloglašene Antife zabranjene u Americi vode se kao teroristi  
https://youtu.be/mcY636x6Gig?si=WG1A34wsdWiUHgGG"|@milanm1202|2025-03-17T21:46:32Z|0|
Ugw1MEDajyIGQ_WrwyF4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Bi milicijo stoku ,nikad boljeg presjednika nisu imali sve im je dao napravio ,nesoi nezahvalni|@Milan-x3w|2025-03-17T10:18:30Z|0|
UgyQ7Ln8DCfA_u3HqqZ4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|POLICIJO reaguj po ZAKONU UDRI bagru|@nevenvujatovic3807|2025-03-16T02:08:32Z|0|
UgyolevbzodIID9PU6t4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|PROPALA OBOJENA REVOLUCIJA ZIVEO PREDSEDNIK|@nevenvujatovic3807|2025-03-16T02:08:23Z|0|
UgwOgt_QIx7QDjxomtV4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Vama veruje samo onaj ko je slep i gluv najveci ste lazovi u istoriji Srbije doci ce vreme za placanje racuna i lustracije ovo su deca srbine neljudi jedni lazljivi|@DraganCobanovic|2025-03-15T16:37:45Z|0|
Ugw39gKdKN8R28YRN-t4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Smrdomer Komentarise !!!|@rajkoostojic3003|2025-03-15T05:41:41Z|0|
Ugz1Jn0hW7PpPkZPMaV4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Toooo tooo motke su se oni uželeli...😂😂|@WolfGirl-0818|2025-03-15T00:20:16Z|0|
UgwSnS_xHuxWl5cp6hx4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|ovo nije istina, informer laže kao i uvek 😮ko zna ko ih je napao, nešto sigurno iscenirano 😮|@Spoci-h9k|2025-03-14T23:57:16Z|0|
UgxtMhfax_yWx2CrQbR4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Bravo policijo,da se zna ko je zakon,a ne svaka susa da sme da unistava nasu zemlju,samo ozezi,krajnje je vreme,dosta su oni pustani da rade sta hoce samo pendrek pa da vide huligani.|@savkovicgorica5137|2025-03-14T19:46:45Z|0|
UgxtMhfax_yWx2CrQbR4AaABAg.AFenL6JUp2JAFeqLLD6gOe|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|@savkovicgorica5137 fukos napredni..|@JelenaNastasijevic-r2w|2025-03-14T20:12:59Z|1|UgxtMhfax_yWx2CrQbR4AaABAg
Ugytz2bdWsBg3EGpPJp4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|"Народ без лица

Где су нам очи што гледаху право,
где су нам груди што храброст носише?
Где су нам руке што жњеше слободу,
а сад се пружају да милост просише?

Нисмо ни леви, нисмо ни десни,
ни браћа, ни људи, ни сенке својих.
Свако за себе, нико за народ,
свако за злато, нико за бољих.

Били смо земља, а сад смо прах,
били смо глас, сад мук нас прати.
Остадоше приче у камену старом,
ал’ ко ће их сутра још препознати?

Крв што је текла за име ово,
сад у ћутању блатом се слива.
Народ без лица, земља без гласа,
проклета снага што себе кида."|@user-Boris1389|2025-03-14T15:42:41Z|0|
UgwvudwOsA9lRrlOhTh4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|"Проклетство међу нама

Где год да крочи српска нога,
ту брат на брата руку диже,
као да проклетство Бога
кроз нашу крв и даље стиже.

Сопствени пламен себе пали,
увек смо своји најгори јади,
увек смо војске, а никад чувари,
увек издаја, увек издани.

Од Душана до Косова поља,
од Карађорђа до дана данашњих,
краљеве давимо у сопственој вољи,
увек смо себи најљући страшник.

Туђе се руке не морају машати,
кад сами кидамо темеље моћи,
кости се браће по јарку раштркају,
док други у миру знају где поћи.

Свака нам реч од мача тежа,
свака нам нада нож у леђима,
непријатељ чека, ал’ ретко беше
да му не дамо дар у плећима.

И тако у круг, век за веком,
увек два лица, увек два пута,
увек смо храбри, увек смо слаби,
увек смо сјај и проклета туга.

Хоћемо ли једном схватити, браћо,
да српска рука не сме да сече
српско срце, српску душу,
да без јединства – ничег нема?"|@user-Boris1389|2025-03-14T15:36:26Z|0|
UgxnxT-gA-XtR0RNNQZ4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Dragi Allahu,podari ovom cijelom svijtu pamet,da budu pravedni,da svi ljudi zive u miru i blagostanju Amiiiin. 🤲🤲🤲🤲🤲|@Love-jx7qq|2025-03-14T13:37:44Z|0|
UgwoCErHRHld0qaL0N54AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|sns botovi jedite g,vna,gotovi ste,moracete da odgovarate za svoje postupke|@dimdjolmilenkovic13|2025-03-14T12:12:14Z|0|
UgxeVIKrmqDjXrfmbat4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|"Na snimku se vidi da je policija prva krenula u brutalnu upotrebu sile.Ovo sto je Informer objavio je totalna laz i dezinformacija i priprema za izazivanje nepotrebnog gradjanskog rata u Srbiji, a narod zna kome to odgovara.
Neki su naseli na Informerovu dezinformaciju."|@jovanp9933|2025-03-14T08:29:01Z|0|
Ugy_PLKsHSG3X5WPdmN4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Za svu ovu gospodu po 3 h 😂😂😂😂. Pa sutra će i vašu decu i unutar da biju ovako . Baci bre te štitove i opremu stani uz svoj narod . A svi ovi što serendaju protiv studenata i protesta samo da znaju da su ti njihovi i naši pokrali dovoljno za 6 života i da će otići iz zemlje a on i prodaje obraz i čast za sendvič sa parizerom I 3h i 300 za drugara.|@bobanlapcevic7953|2025-03-13T07:20:52Z|0|
Ugx0AqGHqJCeiUGgGrl4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Удри руљу|@nebojsastevanovic4862|2025-03-13T06:54:01Z|0|
UgzcDxYgJbSSiQ1ezRl4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Bravo Dačiću ! Jel ono ti bi ministar policije ? A ovo je tvoja škola .|@nevenanikolic4875|2025-03-13T05:36:41Z|0|
Ugzb_EupWG_Gwg13ybV4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Ovo mlado pijano glupo|@jelenastarcevic1479|2025-03-13T01:06:48Z|0|
UgwnzM0QC4lDTG9VrwF4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|MA NEEE. POLICIJA INACE DZABE BIJE. ALO BRE!! I TREBA DA BIJE!! NASTA TO LICI!! POLICIJA RADI SVOJ POSAO KAO I SVAKI GRADJANIN STO RADI SVOJ POSAO!! NEMOJTE IH DIRATI NECE VAS DIRATI!!! SKIDAJ TE VUCICA!! TRAZITE SVOJE ZAHTEVE!!!|@janaliknic71|2025-03-12T22:00:14Z|0|
UgwEnhZ8etu1sKWVhfh4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Boze dal vide roditelji ovih deca sta rade sta ce sutra biti od njih|@LjiljanaPavlesic|2025-03-12T21:56:34Z|0|
UgwEnhZ8etu1sKWVhfh4AaABAg.AF_sb9NgFeBAFfHntkaiZL|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Pa roditelji su i poslali decu a nisu razmislili o njihovim posledicama|@KristinaMaksimovic-j9q|2025-03-15T00:21:42Z|1|UgwEnhZ8etu1sKWVhfh4AaABAg
UgwLcumhWjC82ltdMER4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Profesori dekani koji protestuju svi da odgovaraju u zatvor napravili nam decu ulicare i mafiju|@LjiljanaPavlesic|2025-03-12T21:42:33Z|0|
Ugyua3ZnzyZdXG3fyoV4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Policijo udrite bagru|@LjiljanaPavlesic|2025-03-12T21:39:37Z|0|
UgxHs7IG7HtZ0xecqjt4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|"Kadih policija potera onda halo bre sta radite a oni kad udaraju policiju onda ura punpaj 
Podrzka za policiju udri samo"|@milicbosco2352|2025-03-12T07:30:06Z|0|
UgxHs7IG7HtZ0xecqjt4AaABAg.AFZKRw9KNt4AFZOQbuc5aV|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|podrška i za pametne kao što si ti ..|@blajbib9074|2025-03-12T08:04:52Z|1|UgxHs7IG7HtZ0xecqjt4AaABAg
UgxHs7IG7HtZ0xecqjt4AaABAg.AFZKRw9KNt4AFenhdiA6yU|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|@blajbib9074Samo policija moze huligane da smiri,vidis kako mole tako i treba,olosi mali!|@savkovicgorica5137|2025-03-14T19:49:58Z|1|UgxHs7IG7HtZ0xecqjt4AaABAg
UgyuXNcxNfoTBlu8mAl4AaABAg|youtube|https://www.youtube.com/watch?v=yhSCF84N0wk|Trazili Ste EVO vam ga  👏👮💪da upoznate Zakone🙋💯🇷🇸|@bodopopovic4584|2025-03-11T21:17:35Z|0|
