text|url|label
Neki srbomrzitelj.|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
"Ovo je sve ""vulinova raja""... Saso mange....krenuli da popravljaju kisobrane, kalajsu serpe....ovi kad' stignu u BG, beogradjani moraju i oluke cuvati....posebno ako su od bakra...."|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
Sve Srbin do Srbina. Naprijed SNS!|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
Jeboga ti tri hiljade je tri hiljade|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
VUCICEVA Srbija|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
Pamet im se u očima vidi|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
Mnogima je, na žalost, to jedini izlazak iz sela i kao da idu na more.|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
Bolje i ovo nego ovi sa tirkiznom kosom i brokoli carapama.|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
Nije hejt ali ovo nisu Srbi , gradjani Srbije mozda|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
Ima li tu neki da mu inteligencija prelazi broj cipela ...?|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
Neka, neka, samo se snimajte. Necete ni vi biti zaboravljeno kad zvaljo zvaljavi padne i ode da lezi sa njegovim krimosima. I vas cemo se setiti, nista ne brinite|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
Srbija majka|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
Prodane duse , stacete kad pojedete sendvic i potrosite sicu sto vam je parazit dao|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
Ово представља Србију на жалост.... Па за њих су постављени Муратови шатори.....|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
E moji retardirani blokaderi pa sta ste vi umislili da ste vi izmislili svet. Vi nemate pojma koliko ste popucali po savovima. Evropa se sa vama uveliko sprda. Koja ste vi elita umisljena a ogromna vecina vas su neradnici i klosari narkomani pa vi sad meni samo objasnite kako ste vi boljibod onih koji posteno rade i placaju porez drzavi. Stidite li se bar ponekad bar kad ste sami u sobi da vas niko ne vidi. Sram vas bilo vise.|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
ŠTA JE PICULICE BLOKADERSEE NECE VAM VISE POMOCI OVO NAMESTANJE SLIKA I PONIZAVANJE LJUDI KAKO TO N1 TROVACI RADE,NIKO VAM NE VERUJE VISE.VI STE KANDICKINA I SABAHUDINA GRUHONJICA OMLADINA KOJU SU CEKALI OD 1992 L..,JADNI STRASBULJASI..LJUBI CIKA KURTI|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
Budućnost Srbije|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
JADO JADNA BLOKADERSKA PRAVI STE DJAVOLI|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
Bas lepo da predsednika podrzava sirotinja, obican narod i kako vi kazete socijalni slucajevi. Pa ne mogu svi da budu bogati i opozicija.Ne dobijaju svi gomolu para da rade protiv drzave i sruse legitimno izabranog predsednika. Tako da sve je jasno . A sto neki umisljenji likovii ne koriste mozak pa vredjaju sirotinju to je dokaz da im je arogancija veca od inteligencije.|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
E ovce ovce kad ćete se probuditi jebote,već skoro cela Srbija vidi da ludak vodi državu samo vi ste još hipnotisani debili..|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
Da znaju kod kakvog hitlera idu ..nebi se tako smeskali|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
Ovo je SNS Srbija|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
Vučićeva glasačka mašinerija|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
Žalosno je što glas ovog polusveta vredi isto kao i glas doktora nauka|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
"Ima neke simbolike u ovome posto je za vreme ""velikog ""mitinga RTS 1 pustao film ""Ko to tamo peva""!Da li nam nesto porucuju?"|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
Penzosi i ganci nas sjebaše pošteno|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
Braćo Srbi, Romi su sa vama. Jedan narod jedna država|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
Sram da vas bude duše prodane|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
Ma iako jedu sendvice jedu od srpskih para a ne od ustaskih jajare blokaderske|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
"Njihov glas vrijedi kao i od vaših ""nobelovaca"" i prevaranta takozvanih studenta."|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
Sta zvaljavo kopile uradi to ce da se izucava stotinama godina|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
Posteniji su nego ove domace gube ustaske|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
Већа беда је што сте ви блокадери испуњени мржњом.|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
To se vi tesite da su socijalni slucajevi A sta reci za blokadere narkomane, lopove i smradove. I plus placene izdajnike|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
Sedvicari nadničari krecu po zaraduuu|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
Srpski heroji dika srpskog naroda.Zivela Srbija|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
Popamtiti ih pa im ukinuti istu trajno?! Zar zbog takvih parazita bez mozga da nam deca ispastaju vracajuci dugove narko klana?!|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
Ćaciji su svi obrazovani, ali blokaderima je jedino Picola obrazovan!|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
pa da ne mislis da ce da ovi ljudi idu da podrze ove debile BLOKADERE od kojih nebi dobili ni suvu koru hleba , eventualno bi dobili batine . skotine jedne !|https://www.youtube.com/watch?v=vtXToNPK9kY|ZA-VLAST
"Da je on nekakav ""zastitnik"", onda mu narod nebi ziveo na posnome pasulju, i na kuvanom kupusu bez mesa. U uredjenim drzavama vlada se trudi da pomogne socijalnim slucajevima, i uredi im zivot. Ako zelite jaku drzavu onda se ne sme dozvoliti ekonomska stagnacija jednog celog sloja drustva u Srbiji. Drug Vucic kao tradicionalni komunjara ostavlja svoj narod sam da se snalazi. Jedina dobra stvar jeste to da mozes da izvadis pasos, i da pobegnes iz te dzamahirije sto te dalje avionska krila nose."|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
More uzmi pare, i glasaj za broj dva. Volim onog dedu sto im je uzeo dzak brasna, pa zatim glasao za opoziciju.|https://www.youtube.com/watch?v=vtXToNPK9kY|PROTIV-VLASTI
Sreća njegova što takvih u Srbiji ima koliko hoćeš.|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
Jaka podrska za SNS. Njihova uzdanica!!!!|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
Intelektualci koji se kriju iza floskule da ih ne interesuje politika i ne izlaze na izbore, a zatim su slijepi na sve što se dešava u zemlji, oni su krivi za sve ovo, a ne ovi Romi|https://www.youtube.com/watch?v=vtXToNPK9kY|NEUTRAL
