text|url|label
Pa neka odlazi zbog mira i kad ga vise niko nece.|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Nešto ga jebe grčenje pušione (usta) da ne prođe kao glišoni (dao bog)|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
RASPIŠI IZBORE KUKAVICE !!!|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Sto nisi objavila kako su njegovi tzv policajci batinasi prosli i Lazarevcu.. Popili po pic..|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Bolje bi mu bilo da se unormali .Terapiju treba da uzima redovno...|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Strasno,covek se davno pozdravio s mozgom|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
"Bravo Vucicu samo po dogovoru""Babo Fahriju"|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
baj baj vucko|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Hapsite Hulju!|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Dajte funkcionere na ulice.Neka av izadje malo medju narod.|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Vucic zvani crna svadba|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Vi ste Vuciceve medije. Nikoga ne zanimate.|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Zvaljavi treba da ode i sve ce da bude mirno.|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Jednostavno resenje za mir u Srbiji: sidji sa vlasti. Smucio si se i bogu I ljudima.|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
А што у ћациленду има више година робије него факултета,то га не занима,занима га само власт. Болесник са ф дијагнозом.|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Dr. Mengele neprestaje sa ubijanjem, sa sektaskom bandom. Mnogi ovo nerazumeju, ali ce se uskoro saznati. Uznemiren je i to sa razlogom. ISTINA !!!|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Gotov je!|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Negde sam procitao zanimljivo resenje.Gmaza pustiti da bezi pa ga loviti kasnije,a zombiranom narodu pustati vesti kao da je sve isto i polako cekati da pocrkaju jer tu pomoci nema.|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
"Kako ""policijski"" batinaši, mogu da teško povređuju ljude, koji brane svoju državu od veleizdajnika na, čelu sa svim ovim udruzenim otuđivačima srpskih pokrajina idr.tetitorija, (tj. od strane ove SNS - SPS udruge), koje teriorije, nisu njihovo SNS vlasništvo i koje nikada ne smeju biti u vlasnistvu kriminalca-Vučić - SNS-a i sl. Kuća SNS-a je veleizdajničko leglo, po svemu zlu, koje se rodilo pod SNS antinarodnom i antidržavnim taktirkom."|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Bagro naprednjacka|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Јел ово довезао из целе Србије ћације.|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Najveći šljam je dočekao svojih 5 minuta...skupo ćemo ovo platiti|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Што Вучић говори, то је увек супротно сто , што значи да човек све лаже!|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Јак кућа СНСа! Боље би му било да се отрезни и престане да распродаје Србију и српски народ!|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Dabogda ga ćaci doktori lečili a ćaci profesori skolovali decu ali neće on svojh decu skolovati u srbiji već u inosgranstvu|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
I deca su ga se odrekla|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Dacicu, da si pametan dao bi ostavku! Ali pametan nisi, da jesi, ne bi bio sa Vucicem!|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Slobino krme zvalavo dacic|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
"Baki Baki brate napaćeni...""koferčić"" je bolji igrač od ""svevišnjeg""...tiha voda breg roni...zato što je uporna...poz iz propale EU Pumpaj"|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Dok god postoji i jedan odašiljač on ce da vlada ! Srušite mu medije na nedelju dana i on je gotov , on vlada putem medija !|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
АЦО СРБИНЕ РОБИЈА ТИ НЕ ГИНЕ|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Kuća SNS. Pa smor jedan .....šta je SNS Nova nacija štaaaa??????!!!!!!! Pa zato se i bunimo što želimo da živimo u normalnoj zemlji.|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Vesti iz Ćacilenda|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Водите лудака у лазу,све ће нас побити|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
Čim isplazi jezik znači da je prezadovoljan Da li će stručnjaci za zaštitu mentalnog i duševnog zdravlja države Srbije da daju svoje mišljenje|https://www.youtube.com/watch?v=7686dSc-alA|PROTIV-VLASTI
