text|url|label
OSTAVKA !|https://www.facebook.com/acasapic/posts/pfbid02dbzDYbTAzm4q16rou9pJyPPRrBkM4ZVNV95yeqppDFCrbKetpMe6mQ8Mvgbq2hCEl|PROTIV-VLASTI
Zatvor nije dovoljan za ove lopuže|https://www.instagram.com/p/DQFJ7-CDWHt/|PROTIV-VLASTI
dobar smer, da se stane lokalnim samoprozvanim šerifima na put|https://www.instagram.com/p/DamwUQSOKZi/|ZA-VLAST
O svemu mislite. Vi ste anđeli|https://x.com/i/status/2058131890767278362|NEUTRAL
Pokusavate na osnovu ovoga da skupite neku popularnost ali nece vam proci .|https://x.com/i/status/2057798912899997896|NEUTRAL
Nemaju gradjani pametnija posla, nego da dangube zarad interesa opozicije.|https://x.com/i/status/1876893813601378340|ZA-VLAST
E sad je stvarno gotov! Jedinstvena studentska lista sa profesorima BU i da se pometla ova ekipa ratnih profitera iz ratnih ‘90-ih!|https://www.instagram.com/p/DJSKP8mAFud/|PROTIV-VLASTI
Stabilnost javnih finansija i redovne isplate povećanih plata i penzije pokazuju da državu vode ozbiljni i odgovorni ljudi|https://www.instagram.com/p/DaTIS9RoTMQ/|ZA-VLAST
ŽVALJO!|https://www.facebook.com/reel/1055629687015469|PROTIV-VLASTI
Vučićeva energija je neverovatna jer stiže svuda da obiđe narod i da se uveri u stanje na terenu lično samo napred jer narod zna ko radi za njega|https://www.facebook.com/informernovine/posts/pfbid02HBPGq2Ch8my2G3g6UAZtB44BUKXDhS8unfjLc9Skmrbw91bd8VXKwHB89cgF44oCl|ZA-VLAST
будућност коју они нуде је мрак и хаос који смо већ видели током њихових блокада|https://www.instagram.com/p/DaTIS9RoTMQ/|ZA-VLAST
Zlobne tvrdnje i osude predsednika pokazuju nemoć onih koji se plaše moderne i ekonomski nepobedive Srbije.|https://www.facebook.com/reel/1055629687015469|ZA-VLAST
Badava, zvalavi i dalje vredja i ponizava. Dzaba ste krecili.|https://www.youtube.com/watch?v=rAiL1Lf7BFs|PROTIV-VLASTI
Када моћ љубави победи љубав према моћи, свет ће упознати мир|https://www.instagram.com/p/DaYkOyQKXsr/|NEUTRAL
Ajde ovako neka rezultati na biralistima pokazu ko ima stvaran legitimitet u narodu|https://www.instagram.com/p/DaTIS9RoTMQ/|NEUTRAL
ponosni smo na rezultate našeg tima pod vođstvom predsednika vučića jer su činjenice i brojke neopozive|https://www.instagram.com/p/DaTIS9RoTMQ/|ZA-VLAST
Kopaćemo, a novu ss i ndh1 ćemo zakopati.|https://x.com/i/status/1949574628181201282|ZA-VLAST
Sve ovo nema nikakve veze sa nadstrešnicom. Nastradale koristite kao paravan za iživljavanje i pokušaj svrgavanja vlasti. Aj paljba.|https://x.com/i/status/1934169075644842311|ZA-VLAST
Bravo srpski narode samo uz Predsednika VUCICA. Pozdrav is Londona. Najbolji Predsednik....|https://www.youtube.com/watch?v=M8X1MOBGeSQ|ZA-VLAST
Hrabrost predsednika Vučića da se suprostavi mrziteljima uliva ogromno poverenje celom srpskom narodu gde god živeo!|https://www.facebook.com/reel/1055629687015469|ZA-VLAST
Vucica cete gledati i sns minimum jos jedan mandat taman dok zavrsi posao a i onda se ne zna dok Ameri ne odluce|https://www.instagram.com/p/DampSeAgPrr/|PROTIV-VLASTI
Sve pohvale za mog gradonačelnika i njegov Tim|https://www.facebook.com/acasapic/posts/pfbid02dv7h6Ejm7FuBEbYqQ2quescZFfzVpwze6vxU616dTHptdo3yZDcyNXfjJ5UUQmfjl|ZA-VLAST
Ugasićemo vas|https://x.com/i/status/1950553215889543201|NEUTRAL
Ti doniraj bice besplatno nista nema besplatno narocki novac pojedinci koriste sirotinja ko vas ṣ̌iṣ̌a.|https://www.facebook.com/acasapic/posts/pfbid0BBYzwDYsPL7EzjnfFEQ9ibvFzYypne922CZyTi3pANQm7JGjpxhKJ5ThiH8Aqr3Vl|PROTIV-VLASTI
